稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1980-12-01,,デュアルボード,,SEGA,パルサー（英語版）,セガ・グレムリン,0,0,,,,,,,,
1980-12-01,,デュアルボード,,SEGA,Nサブ（英語版）,,0,0,,,,,,,,
1980-01-01,,-,,SEGA,ファイアーワン,エキシディ,0,0,,,,,,,,
1980-01-01,,-,,SEGA,ウォーロード（英語版）,アタリ,0,0,,,,,,,,
1981-01-01,,-,,SEGA,エリミネーター（英語版）,セガ・グレムリン,0,0,,,,,,,,
1981-01-01,,-,,SEGA,スーパーコブラ,コナミ,0,0,,,,,,,,
1981-01-01,,-,,SEGA,スターレイカー,,0,0,,寺岡大介|渡部高志,三枝直樹,坂田文彦|中沢一登,中村暢之,坂田文彦,坂田文彦,
1981-01-01,,-,,SEGA,タクティシャン,コナミ,0,0,,,,,,,,
1981-03-01,,G80,,SEGA,アストロブラスター（英語版）,,0,0,,,,,,,,
1981-05-01,,G80,,SEGA,スペースオデッセイ,セガ・グレムリン,0,0,,,,,,,,
1981-03-01,,-,,SEGA,アーモアアタック（英語版）,シネマトロニクス,0,0,,,,,,,,
1981-07-01,,-,,SEGA,スペースフューリー（英語版）,セガ・グレムリン,0,0,,,,,,,,
1981-08-01,,-,,SEGA,フロッガー,コナミ,0,0,,,,,,,,
1981-10-01,,-,,SEGA,ターピン（英語版）,コナミ,0,0,,,,,,,,
1981-10-01,,-,,SEGA,ノックアウトパンチ,,0,0,,,,,,,,
1981-10-01,,-,,SEGA,ターボ,,0,0,,,,,,,,
1981-12-01,,-,,SEGA,ジャンプバグ,アルファ電子／豊栄産業,0,0,,,,,,,,
1981-12-01,,-,,SEGA,ボーダーライン（英語版）,,0,0,,,,,,,,
1981-12-01,,G80ほか,,SEGA,5,,0,0,,,,,,,,
1982-01-01,,-,,SEGA,ガッタンゴットン,コナミ,0,0,,,,,,,,
1982-01-01,,-,,SEGA,KOボクシング,,0,0,,,,,,,,
1982-01-01,,G80,,SEGA,スタートレック（英語版）,,0,0,,,,,,,,
1982-01-01,,-,,SEGA,ゼクター（英語版）,,0,0,,,,,,,,
1982-01-01,,-,,SEGA,タックスキャン（英語版）,,0,0,,,,,,,,
1982-01-01,,-,,SEGA,バトルスター,セガ・グレムリン,0,0,,,,,,,,
1982-01-01,,-,,SEGA,"バック・ロジャーズ ズームの惑星（英語版）",,0,0,,,,,,"フィリップ・フランシス・ノーラン 「バック・ロジャーズ(英語版)」|ディック・コールキンス(英語版)",,
1982-01-01,,G80ほか,,SEGA,モンスターバッシュ（英語版）,,0,0,,,,,,,,
1982-01-01,,-,,SEGA,ザクソン,,0,0,,,,,,,,
1982-03-01,,-,,SEGA,アリババと40人の盗賊（英語版）,ICM,0,0,,,,,,,,
1982-07-01,,-,,SEGA,サブロック3D（英語版）,,0,0,,,,,,,,
1982-08-01,,-,,SEGA,ウォンテッドG7,テック,0,0,,,,,,,,
1982-09-01,,-,,SEGA,ペンゴ,コアランドテクノロジー,0,0,,,,,,,,
1982-10-01,,-,,SEGA,"王将 芹沢八段の詰将棋",,0,0,,,,,,,,
1982-12-01,,-,,SEGA,ズーム909,,0,0,,,,,,,,
1982-12-01,,-,,SEGA,スーパーロコモーティブ,,0,0,,,,,,,,
1983-01-01,,-,,SEGA,イクシオン,,0,0,,,,,,,,
1983-01-01,,-,,SEGA,コマンド（英語版）,,0,0,,,,,,,,
1983-01-01,,-,,SEGA,チャンピオンベースボール2,,0,0,,,,,,,,
1983-01-01,,-,,SEGA,ピッグニュートン,,0,0,,,,,,,,
1983-01-01,,-,,SEGA,ラズマタズ,,0,0,,,,,,,,
1983-01-01,,-,,SEGA,スーパーザクソン,,0,0,,,,,,,,
1983-03-01,,-,,SEGA,チャンピオンベースボール,アルファ電子,0,0,,,,,,,,
1983-03-01,,-,,SEGA,ティップタップ,,0,0,,,,,,,,
1983-03-01,,-,,SEGA,ヤマト,GGI,0,0,,,,,,,,
1983-05-01,,レーザーディスク,,SEGA,アストロンベルト,,0,0,,,,,,,,
1983-07-01,,-,,SEGA,シンドバッドミステリー,,0,0,,,,,,,,
1983-07-01,,システム1,,SEGA,スタージャッカー,,0,0,,,,,,,,
1983-08-01,,-,,SEGA,ホッパーロボ,オルカ,0,0,,,,,,,,
1983-09-01,,システム1,,SEGA,アップンダウン（英語版）,,0,0,,,,,,,,
1983-12-01,,システム1,,SEGA,レグルス,,0,0,,,,,,,,
1983-12-01,,レーザーディスク,,SEGA,スターブレイザー,,0,0,,,,,,,,
1984-01-01,,-,,SEGA,ティンバー（英語版）,バリーミッドウェイ,0,0,,,,,,,,
1984-01-01,,システム1,,SEGA,ミスターバイキング,,0,0,,,,,,,,
1984-02-01,,システム1,,SEGA,スワット,コアランドテクノロジー,0,0,,,,,,,,
1984-03-01,,レーザーディスク,,SEGA,アルベガス,,0,0,,森下孝三,,影山楙倫(カナメプロ)|大畑晃一|ひおあきら|小原髪夫(カナメプロ),渡辺宙明,酒井あきよし|上原正三|大川ひろし|安藤豊弘,,
1984-03-01,,-,,SEGA,タッパー,バリーミッドウェイ,0,0,,,,,,,,
1984-05-01,,システム1,,SEGA,フリッキー,,0,0,,,石川ヒデキ|片木秀一,石井洋児|川崎吉喜,,,,
1984-06-01,,-,,SEGA,アッポー,サンリツ,0,0,,,,,,,,
1984-06-01,,-,,SEGA,クラウンズゴルフ,エスコ貿易,0,0,,,,,,,,
1984-07-01,,システム1,,SEGA,ウォーターマッチ,,0,0,,,,,,,,
1984-09-01,,-,,SEGA,フューチャースパイ,,0,0,,,,,,,,
1984-09-01,,-,,SEGA,エクイテス,アルファ電子,0,0,,,,,,,,
1984-09-01,,-,,SEGA,ブルファイター,アルファ電子,0,0,,,,,,,,
1984-10-01,,-,,SEGA,バンクパニック,サンリツ,0,0,,,,,,,,
1984-11-01,,-,,SEGA,チャンピオンボクシング（英語版）,,0,0,,,,,,,,
1984-11-01,,システム1,,SEGA,ザ・闘牛（英語版）,コアランドテクノロジー,0,0,,,,,,,小沢健二,
1984-11-01,,レーザーディスク,,SEGA,GPワールド,,0,0,,,,,,,,
1984-12-01,,システム1,,SEGA,三輪サンちゃん,,0,0,,,,川崎吉喜,,,,
1985-01-01,,-,,SEGA,ハイボルテージ,アルファ電子,0,0,,,,,,,,
1985-01-01,,-,,SEGA,4-Dウォリアーズ（英語版）,コアランドテクノロジー,0,0,,,,,,,,
1985-02-01,,システム1,,SEGA,ピットフォールII（英語版）,,0,0,,,,,,,,
1985-03-01,,システム1,,SEGA,忍者プリンセス,,0,0,,,,川崎吉喜|小玉理恵子,,,,
1985-04-01,,システム1,,SEGA,ごんべえのあいむそ～り～,コアランドテクノロジー,0,0,,熊倉賢一,,,岩永敦子,,,
1985-05-01,,-,,SEGA,チャンピオンプロレス,,0,0,,,,,,,,
1985-05-01,,システム1,,SEGA,テディボーイブルース,,0,0,,,,,,,,
1985-06-01,,-,,SEGA,リパルス,九娯貿易,0,0,,,上村建也,,上村建也,,,
1985-07-01,,システム1,,SEGA,青春スキャンダル,コアランドテクノロジー,0,0,,,,,,,,
1985-07-01,,ハングオンボード,,SEGA,ハングオン,,0,0,,,,,,,,
1985-09-01,,システム2,,SEGA,ヘビーメタル,,0,0,,,,,,,,
1985-10-01,,システム2,,SEGA,チョップリフター,,0,0,,,,ダン・ゴーリン,,,,
1985-11-01,,-,,SEGA,フラッシュギャル（英語版）,九娯貿易,0,0,,,,,,,,
1985-11-01,,システム2,,SEGA,シューティングマスター,,0,0,,,,,,,,
1985-12-01,,スペースハリアーボード,,SEGA,スペースハリアー,,0,0,,藤井睦弘(セガ・マークIII),三船敏(アーケード)|川竹英士(アーケード)|中裕司(セガ・マークIII),鈴木裕(アーケード)|麻生宏(アーケード)|津田知介(アーケード)|永田英朗(アーケード)|貞森康毅(セガ・マークIII),川口博史(アーケード)|鈴木裕(アーケード)|上保徳彦(セガ・マークIII),中裕司(セガ・マークIII)|藤井睦弘(セガ・マークIII)|百田浩司(セガ・マークIII),金成貫(アーケード)|中裕司(セガ・マークIII),
1985-01-01,,-,,SEGA,クラウンズゴルフ・インハワイ,エスコ貿易,0,0,,,,,,,,
1985-01-01,,システム1,,SEGA,4Dウォーリアーズ（英語版）,コアランドテクノロジー,0,0,,,,,,,,
1986-01-01,,-,,SEGA,マークスマンシューティング（英語版）,,0,0,,,,,,,,
1986-01-01,,-,,SEGA,レジェンド,九娯貿易,0,0,,,,,,,,
1986-01-01,,-,,SEGA,"戦略ゲーム ボピープ",コアランドテクノロジー,0,0,,,,,,,,
1986-01-01,,-,,SEGA,ブレイン,コアランドテクノロジー,0,0,,,,,,,,
1986-01-01,,-,,SEGA,ランページ（英語版）,バリーミッドウェイ,0,0,,,,,,,,
1986-01-01,,システム16,,SEGA,メジャーリーグ,,0,0,,,,,,,,
1986-01-01,,-,,SEGA,119,コアランドテクノロジー,0,0,,,,,,,,
1986-01-01,,-,,SEGA,どきどきペンギンランド（英語版）,,0,0,,,,,,,,
1986-01-01,,システムE,,SEGA,ハングオンJr.,,0,0,,,,,,,,
1986-03-01,,-,,SEGA,ラフレシア,コアランドテクノロジー,0,0,,,,,,,,
1986-03-01,,-,,SEGA,スーパースティングレイ,アルファ電子,0,0,,,,,,,,
1986-03-01,,システムE,,SEGA,スラップシューター,,0,0,,,,,,,,
1986-03-01,,システム16A,,SEGA,ファンタジーゾーン,,0,0,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1986-04-01,,システム1,,SEGA,ワンダーボーイ,エスケープ,0,0,,,,,,,,
1986-04-01,,-,,SEGA,ロボレス2001,サンリツ,0,0,,,,,,,,
1986-04-01,,システム16A,,SEGA,カルテット/カルテット2,,0,0,,,,,,,,
1986-05-01,,システムE,,SEGA,アストロフラッシュ（英語版）,,0,0,,,,,,,,
1986-05-01,,システム16A、B,,SEGA,ダンプ松本,サンリツ,0,0,,,,,,,,
1986-05-01,,-,,SEGA,フラワー,クラール、アルファ電子,0,0,,,,,,,,
1986-06-01,,システム2,,SEGA,ウォーボール,,0,0,,,,,,,,
1986-07-01,,-,,SEGA,スペースポジション,太平技研,0,0,,,,,,,,
1986-07-01,,スペースハリアーボード,,SEGA,エンデューロレーサー,,0,0,,,,,,,,
1986-08-01,,システム2,,SEGA,ガルディア,コアランドテクノロジー,0,0,,,,,タイラー・ベイツ,ダン・アブネット|アンディ・ランニング|『ガーディアンズ・オブ・ザ・ギャラクシー』,,
1986-08-01,,-,,SEGA,カロリー君VSモグラニアン（英語版）,太平技研,0,0,,,,,,,,
1986-09-01,,アウトランボード,,SEGA,アウトラン,,0,0,,,三船敏(アーケード)|香川忠司(アーケード)|大江玲(アーケード)|中裕司(セガ・マークⅢ),鈴木裕(アーケード)|石井洋児(アーケード)|松浦稔(アーケード)|貞森康毅(セガ・マークⅢ),川口博史(アーケード)|上保徳彦(セガ・マークⅢ),,,
1986-09-01,,システム16A、B,,SEGA,アクションファイター,,0,0,,,,,,,,
1986-10-01,,-,,SEGA,ギガス,,0,0,,,,,,,,
1986-12-01,,システム16A、B,,SEGA,"アレックスキッド ザ・ロストスターズ（英語版）",,0,0,,,,,,,,
1986-12-01,,-,,SEGA,"ギガス MK-II",,0,0,,,,,,,,
1987-01-01,,-,,SEGA,ギャングスタータウン（英語版）,,0,0,,,,,,,,
1987-01-01,,-,,SEGA,グレートフットボール,,0,0,,,,,,,,
1987-01-01,,-,,SEGA,スケバン雀士竜子,ホワイトボード,0,0,,,,清水雅治(ANO清水),林克洋,,,
1987-01-01,,-,,SEGA,脱子ちゃん雀荘,,0,0,,,,,,,,
1987-01-01,,-,,SEGA,め組レスキュー,,0,0,,,,,,,,
1987-01-01,,システム16B,,SEGA,ダンクショット,,0,0,,,,,,,,
1987-01-01,,システムE,,SEGA,ピタゴラスの謎,ナスコ,0,0,,,,,,,,
1987-02-01,,システムE,,SEGA,ファンタジーゾーンII,,0,0,,,,,上保徳彦,,,
1987-03-01,,システム16A、B,,SEGA,タイムスキャナー,,0,0,,,,,,,,
1987-03-01,,-,,SEGA,パーフェクトビリヤード,日本システム,0,0,,,,,,,,
1987-03-01,,システム1（タイプB）、システム2,,SEGA,ブロックギャル,ビック東海,0,0,,,,,,,,
1987-04-01,,システム16A、B,,SEGA,エイリアンシンドローム,,0,0,,,,,中林亨,,,
1987-04-01,,システム16A、B,,SEGA,"SDI -Strategic Defense Initiative-",,0,0,,,,,林克洋,,,
1987-04-01,,アウトランボード,,SEGA,スーパーハングオン,,0,0,,浜垣博志,,,林克洋|並木晃一,,,
1987-05-01,,-,,SEGA,デンジャーゾーン,シネマトロニクス,0,0,,,,,ジョルジオ・モロダー,,ジョルジオ・モロダー,
1987-06-01,,-,,SEGA,コンバットホーク,サンリツ,0,0,,,,,,,,
1987-06-01,,システム2,,SEGA,時の戦士,,0,0,,,,,渡辺宙明,"上原正三 他","碓氷夕焼(テレビ朝日) 吉川進 折田至(東映)",
1987-06-01,,システム16B,,SEGA,バレット,,0,0,,,,,,,,
1987-07-01,,-,,SEGA,シューティングゾーン/シューティングゾーン2,,0,0,,,,,,,,
1987-07-01,,Xボード,,SEGA,アフターバーナー,,0,0,,,,,,,,
1987-07-01,,システムE,,SEGA,オパオパ,,0,0,,,,,,,,
1987-08-01,,システム2,,SEGA,"ワンダーボーイ モンスターランド",ウエストン,0,0,,,西澤龍一|石塚路志人,鈴子裕美|石塚理恵,坂本慎一,,西澤龍一,
1987-09-01,,システム16B,,SEGA,スーパーリーグ,,0,0,,,,,,,,
1987-09-01,,日本システムマザーボード,,SEGA,フリーキック,日本システム,0,0,,,,,,,,
1987-10-01,,Xボード,,SEGA,アフターバーナーII,,0,0,,鈴木裕|浜垣博志,三船敏,鈴木裕,川口博史,,中山隼雄,
1987-10-01,,システム16B,,SEGA,ヘビーウェイトチャンプ,,0,0,,,,,,,,
1987-11-01,,システム16A、B,,SEGA,"忍 -SHINOBI-",,0,0,,菅野豊,,,川上康広,,,
1987-12-01,,Xボード,,SEGA,サンダーブレード,,0,0,,,,,並木晃一,,,
1987-12-01,,システム16B,,SEGA,ソニックブーム,,0,0,,,,,,,,
1988-02-01,,-,,SEGA,エンゼルキッズ（英語版）,太平技研、EXAプランニング,0,0,,,,,,,,
1988-03-01,,日本システムマザーボード,,SEGA,カウンターラン,日本システム,0,0,,,,,,,,
1988-03-01,,システム24,,SEGA,ホットロッド,,0,0,,,,,,,,
1988-04-01,,システム16A、B,,SEGA,エースアタッカー,,0,0,,,,,,,,
1988-04-01,,Yボード,,SEGA,ギャラクシーフォース,,0,0,,,,,林克洋|並木晃一,,,
1988-06-01,,システム2,,SEGA,"UFO戦士 ようこちゃん",ビック東海,0,0,,,,,,,,
1988-06-01,,システム16B,,SEGA,獣王記,,0,0,,,穂苅健一(AC)|浅井敏典(MD)|松田達夫(MD)|百田浩司(MD),"内田誠(AC)|安原広和(AC)|NO NUKES(MD)|HAGA(AC)|梶本隆博(AC)|小玉理恵子(MD)|UDI(MD)",中林亨(AC)|長井和彦(MD),,,
1988-07-01,,Yボード,,SEGA,ギャラクシーフォースII,,0,0,,,,,林克洋|並木晃一,,,
1988-08-01,,Yボード,,SEGA,パワードリフト,,0,0,,,,鈴木裕,川口博史,,,
1988-08-01,,システム16A、B,,SEGA,パッシングショット,,0,0,,,,,,,,
1988-09-01,,システム16B,,SEGA,エキサイトリーグ,,0,0,,,,,,,,
1988-10-01,,システム24,,SEGA,スクランブルスピリッツ,,0,0,,,,,,,,
1988-11-01,,システム16A、B,,SEGA,"ワンダーボーイIII モンスター・レアー",ウエストン,0,0,,西澤龍一,星崎直樹,石塚理恵|鈴子裕美,坂本慎一,,,
1988-11-01,,システム24,,SEGA,ゲイングランド,,0,0,,,大岡良樹,マック・オースティン|ヤン・ワット|EIRO,高田陽|林克洋,,,
1988-12-01,,システム16A、B、システムE,PZL落ち物,SEGA,テトリス,,0,0,,,,,,,,
1988-12-01,,システム16B,,SEGA,ダイナマイトダックス（英語版）,,0,0,,,,,,,,
1989-01-01,,-,,SEGA,アストロウォリアー（英語版）,,0,0,,,,,,,,
1989-01-01,,システム16B,,SEGA,タフターフ（英語版）,サンソフト,0,0,,,,,,,,
1989-01-01,,Xボード,,SEGA,ラストサバイバー,,0,0,,,,,,,,
1989-02-01,,アウトランボード,,SEGA,ターボアウトラン,,0,0,,浜垣博志,,"三船敏[注釈 1]","川口博史|高木保浩[注釈 2]",,,
1989-02-01,,システム16B,,SEGA,レッスルウォー（英語版）,,0,0,,,,,,,,
1989-03-01,,システム24,,SEGA,クラックダウン,,0,0,,,,,川上泰広,,,
1989-04-01,,システム16B,,SEGA,ベイルート（英語版）,サンソフト,0,0,,,,,,,,
1989-05-01,,システム16B,,SEGA,ゴールデンアックス,,0,0,,,,内田誠,中林亨|高田陽,,,
1989-05-01,,Xボード,,SEGA,スーパーモナコGP,,0,0,,,,小口久雄,並木晃一,,,
1989-06-01,,システム24,,SEGA,ジャンボ尾崎のスーパーマスターズ（英語版）,,0,0,,,,,,,,
1989-07-01,,システム16B,,SEGA,フラッシュポイント,,0,0,,,,,,,,
1989-09-01,,-,,SEGA,DJボーイ（英語版）,金子製作所,0,0,,,,,,,,
1989-10-01,,システム16B,,SEGA,E-SWAT（英語版）,,0,0,,,,,,,,
1989-11-01,,システム18,,SEGA,シャドーダンサー（英語版）,,0,0,,,,,,,,
1989-12-01,,Xボード,,SEGA,ライン・オブ・ファイヤー（英語版）,,0,0,,,,,,,,
1990-01-01,,システム18、Cボード,,SEGA,ブロクシード,,0,0,,,,,,,,
1990-02-01,,システム16B,,SEGA,M.V.P.,,0,0,,,,,,,,
1990-03-01,,システム24,,SEGA,ラフレーサー（英語版）,,0,0,,,,,,,,
1990-03-01,,システム18,,SEGA,エイリアンストーム,,0,0,,,,,,,,
1990-03-01,,Xボード,,SEGA,レーシングヒーロー（英語版）,,0,0,,,,,,,,
1990-03-01,,Cボード,PZL落ち物,SEGA,コラムス,,0,0,,,,ジェイ・ギールセン,上保徳彦,,,
1990-05-01,,Yボード,,SEGA,G-LOC,,0,0,,,,,,,,
1990-06-01,,システム24,,SEGA,ボナンザブラザーズ,,0,0,,,,,並木晃一,,,
1990-08-01,,システム18,,SEGA,マイケル・ジャクソンズ・ムーンウォーカー,,0,0,,,,マイケル・ジャクソン,中林亨,,,
1990-09-01,,Cボード,PZL落ち物,SEGA,コラムスII（英語版）,,0,0,,,,,,,,
1990-10-01,,システム16B,,SEGA,オーライル（英語版）,ウエストン,0,0,,,,,,,,
1990-10-01,,Xボード,,SEGA,GPライダー（英語版）,,0,0,,,,,,,,
1990-10-01,,システム16B,,SEGA,琉球,サクセス,0,0,,,,,,,,
1990-12-01,,Cボード,,SEGA,サンダーフォースAC,テクノソフト,0,0,,,,,,,,
1990-12-01,,システム18,,SEGA,レーザーゴースト（英語版）,,0,0,,,,,,,,
1991-01-01,,Xボード,,SEGA,A.B.コップ（英語版）,エイコム,0,0,,,,,,,,
1991-02-01,,システム32,,SEGA,ラッドモビール,,0,0,,,藤乗勝巳,小口久雄,長井和彦,,,
1991-02-01,,システム24,,SEGA,"クイズ 宿題をわすれました!",,0,0,,,,,,,,
1991-04-01,,システム16B,,SEGA,コットン,サクセス,0,0,,,,,,,,
1991-05-01,,システム18,,SEGA,クラッチヒッター（英語版）,,0,0,,,,,,,,
1991-05-01,,システム24,,SEGA,ダイナミックC.C.,セガ（AM3研）,0,0,,,,,,,,
1991-06-01,,Yボード,,SEGA,ストライクファイター,セガ（AM2研）,0,0,,,,,,,,
1991-07-01,,システム32,,SEGA,ラッドラリー,,0,0,,,,,,,,
1991-07-01,,システム18,,SEGA,D.D.クルー（英語版）,セガ（AM3研）,0,0,,,,,,,,
1991-09-01,,システム32,,SEGA,"スパイダーマン ザ ビデオゲーム",,0,0,,,,,,,,
1991-09-01,,Yボード,,SEGA,レールチェイス,セガ（AM3研）,0,0,,,,,,,,
1991-10-01,,-,,SEGA,タイムトラベラー（英語版）,,0,0,,,,,,,,
1991-11-01,,システム32,,SEGA,F1エキゾーストノート（英語版）,セガ（AM2研）,0,0,,,,,,,,
1991-11-01,,-,,SEGA,スティールタロンズ（英語版）,アタリ,0,0,,,,,,,,
1991-12-01,,システム24,,SEGA,"クイズ 廊下に立ってなさい!",,0,0,,,,,,,,
1991-01-01,,システム16B,,SEGA,ライオットシティ（英語版）,ウエストン,0,0,,,,,,,,
1992-03-01,,システム32,,SEGA,アラビアンファイト,セガ（AM2研）,0,0,,,,,,,,
1992-04-01,,システム32,,SEGA,エアレスキュー（英語版）,セガ（AM1研）,0,0,,,,,,,,
