発売日,バックアップメモリ,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2001-08-03,1,2,ADV,エム・ティー･オー,みんなの飼育シリーズ(2)ぼくのクワガタ,"￥5,200","￥5,000代",0,,,,,,,,
2001-08-09,1,2,SLG,コナミ,ジュラシックパーク3恐竜にあいにいこう！,"￥5,800","￥6,000代",0,,,,,,,,
2001-08-10,1,2,SLG,スターフィッシュ,スーパーブラックバスアドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2001-08-10,1,3,TAB,アテナ,極麻雀デラックス未来戦士21,"￥5,200","￥5,000代",0,,,,,,,,
2001-08-21,1,3,ACT,任天堂,ワリオランドアドバンスヨーキーのお宝,"￥4,800","￥5,000代",0,,松岡洋史,山野勝也|尾崎亘洋|香月良昇|福井浩太|阿部悟郎,清武博二|細川豪彦|上田正二|平野勲,吉冨亮二,,山内溥|出石武宏,
2001-08-30,5,3,ACT,コナミ,ジュラシックパーク3アドバンスアクション,"￥5,800","￥6,000代",0,,,,,,小山内美江子・清水有生ほか,竹之下寛次,
2001-08-31,1,3,ETC,キーネット,高校受験アドバンスシリーズ英語構文編,"￥6,800","￥7,000代",0,,,,,,,,
2001-08-31,1,3,ETC,キーネット,高校受験アドバンスシリーズ英熟語編,"￥6,800","￥7,000代",0,,,,,,,,
2001-08-31,1,3,ETC,キーネット,高校受験アドバンスシリーズ英単語編,"￥6,800","￥7,000代",0,,,,,,,,
2001-09-07,3,3,RPG,イマジニア,メダロット・ナビカブト,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-07,3,3,RPG,イマジニア,メダロット・ナビクワガタ,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-07,5,3,ADV,マーベラス,ラブひなアドバンス祝福の鐘はなるかな,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-13,3,2,RPG,ハドソン,ロボットポンコッツ3クロス,"￥5,200","￥5,000代",0,,,,,,,,
2001-09-13,3,2,RPG,ハドソン,ロボットポンコッツ3リング,"￥5,200","￥5,000代",0,,,,,,,,
2001-09-13,6,2,CARD,ＫＣＥ東京,幻想水滸伝カードストーリーズ,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-20,1,3,CARD,コナミ,FIELDOFNINEDIGITALEDITION2001,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-21,3,3,SLG,バンプレスト,スーパーロボット大戦A,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-27,3,3,RPG,コナミ,Z.O.E2173TESTAMENT,"￥5,800","￥6,000代",0,,,,,,,,
2001-09-28,3,3,SLG,コーエー,信長の野望,"￥6,800","￥7,000代",0,,,,,,,,
2001-09-28,1,2,TAB,メディアリング,西原理恵子の殿堂麻雀,"￥4,800","￥5,000代",0,,,,,,,,
2001-10-04,1,2,PZL,ハドソン,ハテナサテナ,"￥5,200","￥5,000代",0,,飛澤正人,坂本正博,中村心|田中秀幸|カイエダヒロシ(アートディレクター・チャックナジッパー)|角谷みか(てくてくエンジェル)|柴田晃宏(ゲッターラブ),五十嵐真理|飛渡健次郎|酒井知子|村上博美,,猪狩寛,
2001-10-05,6,2,ACT,アルトロン,奇々怪界あどばんす,"￥5,200","￥5,000代",0,,,,,,,,
2001-10-12,1,3,ADV,カプコン,逆転裁判,"￥4,800","￥5,000代",0,,,,,,,,
2001-10-18,5,3,PZL,セガ,みんなでぷよぷよ,"￥4,800","￥5,000代",0,,,,,,,,
2001-10-19,1,3,SLG,カルチャーブレーン,ハムスター物語2GBA,"￥5,800","￥6,000代",0,,,,,,,,
2001-10-19,5,3,ADV,イマジニア,ハローキティコレクションミラクルファッションメーカー,"￥5,200","￥5,000代",0,,,,,,,,
2001-10-25,5,3,SPT,コナミ,ESPNXGamesSkateboarding,"￥5,800","￥6,000代",0,,,,,,,,
2001-10-25,1,2,TAB,コナミ,なかよし麻雀かぶリーチ,"￥5,800","￥6,000代",0,,,,,,,,
2001-10-25,1,3,TAB,コナミ,ヒカルの碁,"￥5,800","￥6,000代",0,,,,,和田俊輔,毛利亘宏,,
2001-10-26,1,3,TAB,任天堂,どこでも対局役満アドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2001-10-26,5,2,SLG,エム・ティー･オー,なかよしペットアドバンスシリーズ(1)かわいいハムスター,"￥5,200","￥5,000代",0,,浅沼穣,五反田義治,則本真樹|MEIMU,桜庭統,五反田義治,山岸功典,
2001-10-26,5,2,SHT,ケムコ,ファランクス,"￥4,980","￥5,000代",0,,,,,,,,
2001-11-01,5,3,PZL,コナミ,ジュラシックパークⅢ失われた遺伝子,"￥5,800","￥6,000代",0,,,,,,,,
2001-11-15,1,3,SPT,コナミ,友情のビクトリーゴール4v4嵐GETTHEGOAL！！,"￥5,800","￥6,000代",0,,,,,,,,
2001-11-22,1,2,ADV,コナミ,AdvetureofTOKYODisneySEA,"￥5,800","￥6,000代",0,,,,,,,,
2001-11-29,3,2,PZL,コンパイル,ぐるロジチャンプ,"￥4,980","￥5,000代",0,,,,,,,,
2001-11-30,1,3,RPG,トミー,ZOIDSSAGA,"￥5,400","￥5,500代",0,,,,,,,,
2001-11-30,1,2,TAB,タカラ,億万長者ゲームのっとり大作戦！,"￥5,800","￥6,000代",0,,,,,,,,
2001-11-30,5,3,SLG,ケムコ,機械化軍隊,"￥5,800","￥6,000代",0,,,,,,,,
2001-11-30,5,3,RPG,ビクター,激闘！カーバトラーGO！！,"￥4,800","￥5,000代",0,,,,,仲西匡,中園ミホ,櫨山裕子|内山雅博,
2001-11-30,3,3,SLG,コーエー,三國志,"￥6,800","￥7,000代",0,,,,,,,,
2001-12-06,1,3,SPT,コナミ,筋肉番付～決めろ！奇跡の完全制覇～,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-06,1,2,ACT,ハドソン,爆転シュートベイブレード激闘！最強ブレーダー,"￥5,300","￥5,500代",0,,,,,,,,
2001-12-07,1,3,RAC,エム・ティー･オー,アドバンスラリー,"￥4,980","￥5,000代",0,,,,,,,,
2001-12-07,5,3,RPG,エポック社,ダイヤロイドワールド-イービル帝国の野望-,"￥4,300","￥4,500代",0,,,,,,,,
2001-12-07,6,2,ETC,ナムコ,ナムコミュージアム,"￥3,800","￥4,000代",0,,,,,,,,
2001-12-07,3,3,RPG,任天堂,マジカルバケーション,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-07,1,3,SLG,テクモ,モンスターファームアドバンス,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-07,5,3,SPT,ハンズオン,ワールドアドバンスサッカー～勝利への道～,"￥5,200","￥5,000代",0,,,,,,,,
2001-12-07,5,3,SLG,ビクター,学校をつくろう！！アドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-07,3,3,SLG,メディアカイト,大戦略FORゲームボーイアドバンス,"￥4,980","￥5,000代",0,,,,,,,,
2001-12-13,5,3,PZL,セガ,コラムスクラウン,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-13,5,3,SPT,コナミ,実況ワールドサッカーポケット,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-13,5,2,TAB,ホリ,大麻雀。,"￥3,800","￥4,000代",0,,,,,,,,
2001-12-14,5,3,SPT,サクセス,SK8TonyHawk'sPROSKATER2,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-14,5,3,RPG,ビクター,サンサーラナーガ1×2,"￥4,980","￥5,000代",0,,,,,,,,
2001-12-14,5,2,ACT,任天堂,スーパーマリオアドバンス2,"￥4,800","￥5,000代",82,,手塚卓志,中郷俊彦,日野重文,近藤浩治,,山内溥|宮本茂,
2001-12-14,1,3,RPG,カプコン,バトルネットワークロックマンエグゼ2,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-14,5,2,PZL,サンソフト,上海アドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-20,5,2,SPT,コナミ,ESPNWinterXGamesSnowboarding2002,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-20,5,3,SPT,コナミ,エキサイティングバス,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-20,3,3,ACT,セガ,ソニックアドバンス,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-20,3,3,RPG,エニックス,ドラゴンクエストキャラクターズトルネコの大冒険2アドバンス不思議のダンジョン,"￥5,980","￥6,000代",0,,,,鳥山明,すぎやまこういち,,中村光一,
2001-12-20,1,4,CARD,コナミ,遊戯王デュエルモンスターズ6エキスパート2,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-20,1,3,ACT,コナミ,烈火の炎-THEGAME-,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-21,1,2,SLG,トミー,MUTSUウォータールーパームツ,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-21,1,2,RPG,メディアリング,WizardrySUMMONER(ウィザードリィサマ),"￥5,800","￥6,000代",0,,,,,,,,
2001-12-21,5,2,TAB,カルチャーブレーン,スウィートクッキーパイ,"￥4,980","￥5,000代",0,,,,,,,,
2001-12-21,6,2,PZL,タイトー,スーパーパズルバブルアドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-21,6,3,ACT,ユービーアイソフト,ドナルドダックアドバンス,"￥5,300","￥5,500代",0,,,,,,,,
2001-12-21,5,2,ETC,コナミ,ピンキーモンキータウン,"￥5,800","￥6,000代",0,,,,,,,,
2001-12-21,1,2,RPG,カプコン,ブレスオブファイアⅡ～使命の子～,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-21,5,3,RPG,エポック社,機動天使エンジェリックレイヤーみさきと夢の天使達,"￥5,500","￥5,500代",0,,,,小森高博|石垣純哉,田中公平,大河内一楼|稲荷昭彦|吉田玲子|吉永亜矢|錦織博|葉月九ロウ,,
2001-12-21,5,3,ACT,ナムコ,鉄拳アドバンス,"￥5,300","￥5,500代",0,,,,,,,,
2001-12-28,5,3,TAB,日本テレネット,SLOT！PROアドバンス宝船＆大江戸桜吹雪2,"￥4,800","￥5,000代",0,,,,,,,,
2001-12-28,1,3,RPG,カプコン,グランボ,"￥5,300","￥5,500代",0,,,,,,,,
2002-01-01,5,4,ACT,マーベラス,THEKINGOFFIGHTERSEXNEOBLOOD,"￥5,800","￥6,000代",0,,,,,,,,
2002-01-11,6,2,PZL,ナムコ,パックマンコレクション,"￥3,800","￥4,000代",0,,,,,,,,
2002-01-17,5,2,SHT,コナミ,グラディウスジェネレーション,"￥5,800","￥6,000代",0,,,,,,,,
2002-01-17,1,4,RPG,エニックス,スナップキッズ,"￥5,980","￥6,000代",0,,,,,,,,
2002-01-24,5,2,ADV,グローバル,幽霊屋敷の二十四時間,"￥4,800","￥5,000代",0,,,,,,,,
2002-01-25,3,3,ACT,サミー,GUILTYGEARXADVANCEEDITION,"￥5,800","￥6,000代",0,,,,,,,,
2002-01-25,5,3,RPG,任天堂,トマトアドベンチャー,"￥4,800","￥5,000代",0,,,,,,,,
2002-01-31,1,2,ETC,コナミ,アニマルマニアどきどき相性チェック,"￥5,800","￥6,000代",0,,,,,,,,
2002-01-31,5,2,SPT,コナミ,ハイパースポーツ2002WINTER,"￥5,800","￥6,000代",0,,,,,,,,
2002-01-31,5,3,ADV,ＥＡスクウェア,ハリー・ポッターと賢者の石,"￥4,800","￥5,000代",0,,,,,,,,
2002-02-07,5,3,ACT,ハドソン,ボンバーマンマックス2ボンバーマンバージョン,"￥4,800","￥5,000代",0,,,,,,,,
2002-02-07,5,3,ACT,ハドソン,ボンバーマンマックス2マックスバージョン,"￥4,800","￥5,000代",0,,,,,,,,
2002-02-08,1,3,RPG,カプコン,BLACKBLACK～ブラブラ～,"￥4,800","￥5,000代",0,,,,,,,,
2002-02-14,5,3,SPT,コナミ,WTAツアーテニスポケット,"￥5,800","￥6,000代",0,,,,,,,,
2002-02-14,3,3,ADV,コナミ,メールでキュート,"￥5,800","￥6,000代",0,,,,,,,,
2002-02-21,1,3,SPT,コナミ,キャプテン翼栄光の軌跡,"￥5,800","￥6,000代",0,,,,,,,,
2002-02-21,1,3,ACT,任天堂,どーもくんの不思議テレビ,"￥4,800","￥5,000代",0,,,,,,,,
2002-02-28,1,3,SPT,コナミ,Jリーグポケット2,"￥5,800","￥6,000代",0,,,,,,,,
2002-02-28,5,2,ACT,コナミ,ゴエモンニューエイジ出動！,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-01,6,2,ACT,トミー,モンスターズ・インク,"￥4,800","￥5,000代",0,,,,,ランディ・ニューマン,ダン・ガーソン|アンドリュー・スタントン,,
2002-03-08,5,2,PZL,任天堂,コロコロパズルハッピィパネッチュ！,"￥4,800","￥5,000代",0,,,,,,,,
2002-03-08,1,2,ETC,コーエー,ふしぎの国のアンジェリーク,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-08,1,3,RPG,タイトー,沈黙の移籍～エストポリス外伝～,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-14,5,2,SPT,コナミ,K-1ポケットグランプリ,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-15,5,2,SPT,ビクター,川のぬし釣り5～不思議の森から～,"￥4,800","￥5,000代",0,,,,,,,,
2002-03-20,1,3,ACT,コナミ,GROOVEADVENTURERAVE～光と闇の大決戦～,"￥5,800","￥6,000代",0,,,,松島晃,川井憲次,岸間信明|十川誠志|隅沢克之|時村尚|吉岡たかを,,
2002-03-20,1,3,SPT,コナミ,パワプロクンポケット4,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-21,5,2,SLG,コーエー,アンジェリーク,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-22,5,2,SLG,エム・ティー･オー,なかよしペットアドバンスシリーズ(2)かわいい仔犬,"￥4,800","￥5,000代",0,,,,,,,,
2002-03-22,3,2,TAB,サミー,実戦パチスロ必勝法！獣王アドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2002-03-28,3,3,RPG,セガ,シャイニング・ソウル,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-28,1,2,TAB,コナミ,一石八鳥～これ1本で8種類！～,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-28,1,2,CARD,コナミ,神の記述ILLUSIONOFTHEEVILEYES,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-28,5,3,RPG,フウキ,妖怪道,"￥4,800","￥5,000代",0,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,
2002-03-29,1,3,RPG,エポック社,カエルBバック,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-29,5,3,ETC,エポック社,ドラえもんどこでもウォーカー,"￥4,800","￥5,000代",0,,,,,,,,
2002-03-29,1,3,SLG,ジョルダン,ハムスター倶楽部3,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-29,1,3,RPG,任天堂,ファイアーエムブレム封印の剣,"￥4,800","￥5,000代",0,,,,金田榮路(キャラクターデザイン),,堀川将之|前田耕平(シナリオサポート),,
2002-03-29,3,3,RPG,コーエー,マジカル封神,"￥5,800","￥6,000代",0,,,,,,,,
2002-03-29,1,3,SPT,トミー,新日本プロレス闘魂烈伝アドバンス,"￥5,800","￥6,000代",0,,,,,,,,
2002-04-01,1,3,ETC,小学館,ミニモニ。ミカのハッピーモーニングchatty,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-11,5,2,PZL,グローバル,デンキブロックス！,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-12,1,3,RPG,メディアリング,LUNAR～LEGEND～(ルナ～レジェンド～),"￥5,800","￥6,000代",0,,,,,,,,
2002-04-18,5,2,PZL,カプコン,ひつじのキモチ。,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-18,1,2,TAB,タカラ,人生ゲームアドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-19,3,2,PZL,トミー,黒ひげのくるっとジンドリ,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-19,3,3,SPT,トミー,黒ひげのゴルフしようよ,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-19,1,3,ADV,エム・ティー･オー,大好きテディ,"￥5,480","￥5,500代",0,,,,,,,,
2002-04-25,5,3,SPT,コナミ,ウイ・イレ,"￥5,800","￥6,000代",0,,,,,,,,
2002-04-25,3,3,SPT,コナミ,テニスの王子様ジーニアス・ボーイズ・アカデミー,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,5,2,TAB,日本テレネット,SLOT！PRO2アドバンス～GOGOジャグラー＆Newタイリョウ～,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,5,3,RAC,エム・ティー･オー,アドバンスGT2,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,3,3,SLG,アルファ・ユニット,おしゃべりインコ倶楽部,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,5,3,ACT,サクセス,スパイダーマンミステリオの脅威,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,6,2,PZL,サクセス,テトリスワールド,"￥3,980","￥4,000代",0,,,,,,,,
2002-04-26,5,2,ADV,ビクター,ぷくぷく天然かいらんばん,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,1,3,ACT,カプコン,ロックマンゼロ,"￥4,800","￥5,000代",0,,,,,,,,
2002-04-26,1,3,RPG,スマイルソフト,携帯電獣テレファング2スピード,"￥5,800","￥6,000代",0,,,,,,,,
2002-04-26,1,3,RPG,スマイルソフト,携帯電獣テレファング2パワー,"￥5,800","￥6,000代",0,,,,,,,,
2002-04-26,1,3,ADV,サミー,頭文字DAnotherStage,"￥5,800","￥6,000代",0,,,,,,,,
2002-04-26,5,3,TAB,加賀テック,日本プロ麻雀連盟公認徹萬アドバンス～免許皆伝シリーズ～,"￥4,800","￥5,000代",0,,,,,,,,
2002-05-02,6,2,ETC,コナミ,コナミアーケードゲームコレクション,"￥4,800","￥5,000代",0,,,,,,,豊田稔,
2002-05-02,1,2,SPT,スパイク,フォーメーションサッカー2002,"￥5,800","￥6,000代",0,,,,,,,,
2002-05-02,5,2,RAC,コナミ,モトクロスマニアックスADVANCE,"￥4,800","￥5,000代",0,,,,,,今野敏,,
2002-05-24,5,2,ETC,カルチャーブレーン,おしゃれプリンセス,"￥4,800","￥5,000代",0,,,,,,,,
2002-05-31,5,2,SPT,ユービーアイソフト,トータルサッカーアドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2002-05-31,1,3,ADV,任天堂,とっとこハム太郎3ラブラブ大冒険でちゅ,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-06,1,3,ACT,コナミ,キャッスルヴァニア白夜の協奏曲,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-14,5,2,SPT,ナムコ,ファミリーテニスアドバンス,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-21,1,3,SPT,ナウプロダクション,ガチンコプロ野球,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-27,5,2,RAC,インフォグラムジャパン,V-RALLY3,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-27,5,2,TAB,グローバル,花札トランプ麻雀デパチカ和洋中,"￥3,980","￥4,000代",0,,,,,,,,
2002-06-27,1,3,SLG,ハドソン,爆転シュートベイブレード2002いくぜ！激闘！超磁力バトル,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-28,3,3,ADV,シャルラク,Natural2-DUO-,"￥4,800","￥5,000代",0,,,,,あり,,,
2002-06-28,3,4,ADV,チュンソフト,かまいたちの夜～ADVANCE～,"￥4,800","￥5,000代",0,,,,,,,,
2002-06-28,5,2,RPG,ＰＣＣＷＪ,かわいいペットショップ物語3,"￥4,800","￥5,000代",0,,,,,,,,
