発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1984-01-01,MSX,-,32K,ナムコ,ディグダグ,"￥4,500","￥4,500代",1,Mirrored,,,さかいとしお|深谷正一,池上まさとし,慶野由利子,,,
1984-01-01,MSX,-,16K,アスキー,デインジャーX4,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1985-01-01,MSX,-,不明,ヤマハ,データメモリカートリッジ,"￥9,800","￥10,000代",1,?,,,,,,,,
1986-01-01,MSX,-,32K,電波新聞社,デーモンクリスタル,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ポニーキャニオン,デカスロン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ゲームアーツ,テクザー(THEXDER),"￥5,800","￥6,000代",1,Mirrored,,,,五代響|上坂哲,五代響,,,
1987-01-01,MSX,RPG,1M,日本テレネット,デジタルデビル物語女神転生,"￥6,800","￥7,000代",1,ASCII_8KB,,,,北爪宏幸|江崎稔,増子司,,,
1984-01-01,MSX,-,16K,アスキー,テセウス,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,ＨＡＬ研究所,てつまん,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,不明,マスティール,テトラホラー,"￥4,800","￥5,000代",1,?,,,,,,,,
1988-01-01,MSX2,-,1M,BPS,テトリス,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,MSX,-,16K,ゼネラル,デビルズ・ヘブン,"￥4,800","￥5,000代",1,*0,,,,,,,,
1980-01-01,MSX2,-,1M,日本物産,テラクレスタ,￥,￥0代,1,?,,,,藤原茂樹,吉田健志,,,
1983-01-01,MSX,-,16K,アスキー,テレバニー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,エニックス,ドアドア,"￥4,800","￥5,000代",1,Mirrored,,,,中村光一,,,,
1988-01-01,MSX2,-,不明,エミールソフト,とーくまん,"￥14,800","￥15,000代",1,?,,,,,,,,
1988-01-01,MSX,-,64K,ポニーキャニオン,ドーンパトロール,"￥4,900","￥5,000代",1,Mirrored,,,,,,,パット・グラッサー,
1985-01-01,MSX,-,32K,ポニーキャニオン,どきどきペンギンランド,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,不明,-,不明,東芝/東芝ＥＭＩ,ドクターセルフ(Dr.SELF),￥,￥0代,1,?,,,,,,,,
1986-01-01,MSX,-,32K,ボースティック,トップルジップ,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ボースティック,トップルジップ,"￥5,900","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,16K,ジャレコ,トップローラー(TOPROLLER),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,アスキー,トライアルスキー,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,MSX,-,8K,ＨＡＬ研究所,ドラゴンアタック,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,RPG,1M,エニックス,ドラゴンクエスト,"￥5,800","￥6,000代",1,ASCII_8KB,,中村光一,チュンソフト,鳥山明|榎本一夫|土居孝幸,すぎやまこういち,堀井雄二,千田幸信,
1986-01-01,MSX2,RPG,1M,エニックス,ドラゴンクエスト,"￥6,400","￥6,500代",1,ASCII_8KB,,中村光一,チュンソフト,鳥山明|榎本一夫|土居孝幸,すぎやまこういち,堀井雄二,千田幸信,
1987-01-01,MSX2,RPG,2M,エニックス,ドラゴンクエストⅡ悪霊の神々,"￥6,800","￥7,000代",1,ASCII_8KB,,中村光一,中村光一,堀井雄二|鳥山明,すぎやまこういち,堀井雄二,千田幸信,
1987-01-01,MSX,RPG,2M,エニックス,ドラゴンクエストⅡ悪霊の神々,"￥6,800","￥7,000代",1,ASCII_8KB,,中村光一,中村光一,堀井雄二|鳥山明,すぎやまこういち,堀井雄二,千田幸信,
1985-01-01,MSX,RPG,32K,スクウェア,ドラゴンスレイヤー,"￥5,200","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,2M,ファルコム,ドラゴンスレイヤーⅣドラスレファミリー,"￥6,800","￥7,000代",1,ASCII_8KB,,,秋葉紀好|木屋善夫,大浦孝浩|都築和彦|古代彩乃,古代祐三|石川三恵子,立川敏男|木屋善夫|畠山孝一|大浦孝浩|秋葉紀好,加藤正幸,
1987-01-01,MSX2,-,2M,ファルコム,ドラゴンスレイヤーⅣドラスレファミリー,"￥6,800","￥7,000代",1,ASCII_8KB,,,秋葉紀好|木屋善夫,大浦孝浩|都築和彦|古代彩乃,古代祐三|石川三恵子,立川敏男|木屋善夫|畠山孝一|大浦孝浩|秋葉紀好,加藤正幸,
1987-01-01,MSX2,-,1M,ナムコ,ドラゴンバスター,"￥5,800","￥6,000代",1,ASCII_8KB,,,是枝ひろき,佐藤英治,慶野由利子,,,
1986-01-01,MSX,-,32K,ソニー,トラフィック,￥,￥0代,1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,トランプエイド,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ザインソフト,トリトーン,￥,￥0代,1,Standard(startat0x4000),,,,,,,,
1986-01-01,MSX,-,32K,ナムコ,ドルアーガの塔,"￥4,500","￥4,500代",1,Mirrored,,,内藤智,遠藤雅伸|篠崎雄一郎,小沢純子,,,
1988-01-01,MSX2,-,1M,日本デクスタ,ドルイド,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,32K,ビクター音産,ドレイナー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ソニー,ドロドン,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,電波新聞社,ナイザースペシャル,"￥5,300","￥5,500代",1,ASCII_16KB,,,,,,,,
1985-01-01,MSX,-,32K,日本デクスタ,ナイトシェード,"￥5,700","￥5,500代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,日本デクスタ,ナイトロアー,"￥5,700","￥5,500代",1,Mirrored,,,クリス・スタンパー|ジョン・ラスバリー,クリス・スタンパー|ティム・スタンパー|ティム・スタンパー|キャロル・スタンパー,,,,
1986-01-01,MSX,-,32K,ビクター音産,ナイルの涙,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,東京書籍,ニューキャルシリーズニューホライズン全3巻,"￥6,800","￥7,000代",1,?,,,,,,,,
1986-01-01,MSX,-,1M,マイクロキャビン,は～りぃふぉっくすMSXスペシャル,"￥6,800","￥7,000代",1,ASCII_16KB+SRAM,,,,,,,,
1986-01-01,MSX,-,32K,電波新聞社,バーガータイム,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1980-01-01,不明,-,不明,ソニー,バーディー,￥,￥0代,1,?,,,,,,,,
1987-01-01,MSX2,-,1M,ソニー,ハードボール,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,"Adam Gok",ガイ・エドモンズ|マット・ゼレメズ,"Joe Weatherstone",
1985-01-01,MSX,-,64K,マイクロキャビン,はーりぃふぉっくす雪の魔王編,￥,￥0代,1,"[はーりぃふぉっくす雪の魔王編] rom",,,,,,,,
1983-01-01,MSX,-,16K,ウェイリミット,ハイウェイスター,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ポニーキャニオン,ハイスクール!奇面組,"￥5,800","￥6,000代",1,ASCII_8KB,,,,金沢比呂司,菊池俊輔,,,
1985-01-01,MSX,-,32K,コンプティーク,ハイスト,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,ACT,32K,"T＆E SOFT",ハイドライド,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,ACT,1M,"T＆E SOFT",ハイドライドⅡ,"￥6,400","￥6,500代",1,ASCII_16KB+SRAM,,,,,,,,
1987-01-01,MSX,ACT,4M,"T＆E SOFT",ハイドライド3,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,ACT,4M,"T＆E SOFT",ハイドライド3,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,不明,"T＆E SOFT",ハイドライドブロンズバック(Ⅱと3のセット),"￥9,980","￥10,000代",1,-,,,,,,,,
1984-01-01,MSX,-,16K,ZAP,パイナップリン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,SPT,16K,コナミ,ハイパーオリンピック1,"￥4,800","￥5,000代",1,Mirrored,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,ソニー,ハイパーオリンピックⅠ,"￥4,800","￥5,000代",1,?,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,コナミ,ハイパーオリンピック2,"￥4,800","￥5,000代",1,Mirrored,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,ソニー,ハイパーオリンピックⅡ,"￥4,800","￥5,000代",1,?,,,森下繁,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,コナミ,ハイパースポーツ1,"￥4,800","￥5,000代",1,Mirrored,,,町口浩康,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,ソニー,ハイパースポーツⅠ,￥,￥0代,1,?,,,町口浩康,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,コナミ,ハイパースポーツ2,"￥4,800","￥5,000代",1,Mirrored,,,町口浩康,,福武茂,,石原祥吉,
1984-01-01,MSX,SPT,16K,ソニー,ハイパースポーツⅡ,￥,￥0代,1,?,,,町口浩康,,福武茂,,石原祥吉,
1985-01-01,MSX,SPT,32K,コナミ,ハイパースポーツ3,"￥4,800","￥5,000代",1,Mirrored,,,町口浩康,,福武茂,,石原祥吉,
1985-01-01,MSX,-,16K,コナミ,ハイパーラリー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,アスキー,パイパニック,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,不明,-,不明,ハドソン,バギージャンプ,￥,￥0代,1,?,,,,,,,,
1984-01-01,MSX,-,16K,ポニーキャニオン,パストファインダー,"￥4,800","￥5,000代",1,Mirrored,,,,"en:Jason Bulmahn",,ダンジョンズ&ドラゴンズ第3版,,
1983-01-01,MSX,-,16K,アスキー,パスボール,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,MSX,-,32K,システムソフト,パズルパニック,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,不明,ソニー,パソコンタイプライター,"￥6,800","￥7,000代",1,?,,,,,,,,
1983-01-01,MSX,-,16K,リットーミュージック,パソコン作曲家,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1980-01-01,不明,-,不明,ストラッドフォード,パソコン先生入門編・教師用,￥,￥0代,1,?,,,,,,,,
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,パチコン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,ＨＡＬ研究所,パチプロ伝説,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,16K,カシオ,パチンコUFO,"￥4,800","￥5,000代",1,Mirrored,,,,小松原一男|荒木伸吾,菊池俊輔,永井豪とダイナミック企画,,
1988-01-01,MSX2,-,1M,ポニーキャニオン,ハッカー,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1984-01-01,MSX,-,16K,ソニー,バックギャモン,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ポニーキャニオン,バックトゥザフューチャー,"￥4,900","￥5,000代",1,Standard(startat0x4000),,,,,アラン・シルヴェストリ,ロバート・ゼメキス|ボブ・ゲイル,,
1989-01-01,MSX2,-,2M,ナムコ,パックマニア,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,慶野由利子|小沢純子|戸室仁人,,岩谷徹,
1984-01-01,MSX,-,16K,ナムコ,パックマン,"￥4,500","￥4,500代",1,Mirrored,,,舟木茂雄,岩谷徹|山下正,石村繁一|甲斐敏夫,,,
1984-01-01,MSX,-,16K,コンパイル,ハッスルチュミー,"￥4,800","￥5,000代",1,*0,,,,,,,,
1985-01-01,MSX,-,32K,テクノソフト,ばってんタヌキの大冒険,"￥5,800","￥6,000代",1,Mirrored,,,,,ナオト・インティライミ(作詞・作曲),,,
1987-01-01,MSX,-,64K,パック・イン・ビデオ,バットマンロビン救出スペシャル,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,16K,ソニー,バトルクロス,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,8K,"T＆E SOFT",バトルシップ・クラプトンII,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX,-,64K,パナソフト,FMパナアミューズメントカートリッジ,"￥3,800","￥4,000代",1,"[パナアミューズメントカートリッジ] rom",,,,,,,,
1985-01-01,MSX,-,16K,パナソフト,パナソフトのサッカー(MSXsoccre),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,パナソフト,パナソフトのベースボール(MSXBASEBALL),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,16K,パナソフト,パナソフトのベースボールII(MSXBASEBALLII),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,パナソフト,パナソフトのラグビー(MSXRUGBY),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,スタジオＧＥＮ,バナナ(BANANA),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,タイトー／ニデコ,バブルボブル,"￥5,800","￥6,000代",1,ASCII_8KB,,,藤末一郎|NISHIYORI,三辻富貴朗,君島正,,,
1984-01-01,MSX,-,8K,アスキー,はらぺこパックン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,8K,ＨＡＬ研究所,バラン数(BALANCE),"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX,SHT,1M,コナミ,パロディウスタコは地球を救う,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1985-01-01,MSX,-,32K,ポニーキャニオン,ハングオン,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ポニーキャニオン,バンクパニック,"￥4,900","￥5,000代",1,?,,,,,,,,
1984-01-01,MSX,-,32K,ソニー,バンゲリングベイ,"￥4,900","￥5,000代",1,Mirrored,,,,ウィル・ライト,,,,
1986-01-01,MSX,-,32K,アイレム,パンサー,￥,￥0代,1,Mirrored,,,,,,,,
1990-01-01,MSX2,-,不明,ＨＡＬ研究所,ハンディスキャナMSX2,"￥24,800","￥25,000代",1,?,,,,,,,,
1984-01-01,MSX,-,8K,日本コロムビア,ピータン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,MSX,-,不明,ハドソン,ビーパック(BEEPACK),￥,￥0代,1,-,,,,,,,,
1984-01-01,MSX,-,16K,ポニーキャニオン,ビームライダー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ポニーキャニオン,ヒーロー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1991-01-01,MSX2,-,4M,ポニーキャニオン,ヒーローオブザランス,"￥7,500","￥7,500代",1,ASCII_8KB+SRAM,,,,,,,,
1983-01-01,MSX,-,8K,ＨＡＬ研究所,ピクチャーパズル,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,タイトー／ニデコ,ビクトリアスナインII高校野球編,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1980-01-01,不明,-,不明,ＨＡＬ研究所,ピッキー,￥,￥0代,1,?,,,,,,,,
1984-01-01,MSX,-,8K,ハドソン,ひつじやーい,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ポニーキャニオン,ピットフォール,"￥4,800","￥5,000代",1,Mirrored,,,,デヴィッド・クレーン,,,,
1984-01-01,MSX,-,16K,ポニーキャニオン,ピットフォールII,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,不明,ソニー,ビデオデジタイザー,"￥29,800","￥30,000代",1,?,,,,,,,,
1983-01-01,MSX,-,8K,コナミ,ビデオハスラー,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,不明,ビクター音産,ビデオ画面効果ソフトビデオ・エディパル,"￥7,800","￥8,000代",1,?,,,,,,,,
1984-01-01,MSX,-,32K,日本デクスタ,ピピ(オウムのピピの大冒険),"￥4,800","￥5,000代",1,Mirrored,,,,,ナオト・インティライミ(作詞・作曲),,,
1985-01-01,MSX,-,16K,コナミ,ピポルス,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,8K,"T＆E SOFT",ピラミッド・ワープ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,不明,セイカロモックス,ピロマン,"￥5,500","￥5,500代",1,?,,,,,,,,
1987-01-01,MSX,-,不明,ＨＡＬ研究所,ピロマン,"￥5,500","￥5,500代",1,?,,,,,,,,
1985-01-01,MSX,-,不明,日本コロムビア,ピンキーチェイス,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,MSX,-,16K,日本コロムビア,ピンボールメーカー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,マスティール,ファーマー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,ハミングバードソフト,ファイアボール,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,ファイナルジャスティス,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,1M,日本テレネット,ファイナルゾーンウルフ,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,MSX,-,16K,ＭＩＡ,ファイナル麻雀,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ハドソン,ファイヤーレスキュー,"￥4,800","￥5,000代",1,Mirrored,,,,,テディ・ロビン・クァン|トミー・ワイ,デレク・クォック|ジル・レオン|フィリップ・ユン,,
1988-01-01,MSX2,-,2M,BIT2,ファミクルパロディック,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,64K,パック・イン・ビデオ,ファミリービリヤード,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX2,-,2M,ソニー,ファミリーボクシングMSXタイトルマッチ,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,32K,ソニー,ファルク,"￥14,800","￥15,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ZAP,ファンキー・マウス,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,1M,ポニーキャニオン,ファンタジーゾーン,"￥5,500","￥5,500代",1,ASCII_8KB,,石井洋児,片木秀一,石井洋児|近藤正樹,川口博史,,,
1987-01-01,MSX2,-,2M,ポニーキャニオン,ファンタジーゾーンⅡオパオパの涙,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,上保徳彦,,,
1984-01-01,MSX,-,16K,アスキー,ブーメラン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,ZAP,フェアリー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,ＧＡ夢／HOT-B,フェアリーランドストーリー,"￥5,900","￥6,000代",1,ASCII_8KB,,緒方正樹|波多野幹夫,,辻野浩司|西村年幸|きたがわてつお,Y.TSUCHIDA|君島正,石田一朋,,
1985-01-01,MSX,-,32K,日本デクスタ,フォーメーションZ,"￥5,700","￥5,500代",1,Mirrored,,,,,渥美徳弘,,,
1987-01-01,MSX,-,不明,タケル／ブラザー工業,フォールフェル,"￥2,500","￥2,500代",1,?,,,,,,,,
1983-01-01,MSX,-,16K,アンプルソフトウエア,ブギウギジャングル,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,8K,ＨＡＬ研究所,ぶた丸パンツ,"￥4,800","￥5,000代",1,Mirrored,,"須藤典彦[注 1]",,松原徳弘|亀田祥倫,やまだ豊,青山剛昌,,
1988-01-01,MSX,-,1M,サブロジック,フライトシミュレーター,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,MSX,-,64K,ポニーキャニオン,フライトデッキ,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,マイクロキャビン,ブラッガー,"￥5,400","￥5,500代",1,Standard(startat0x4000),,,,,,舘そらみ|上田迅(ザ・ワークス)|岸本鮎佳,,
1984-01-01,MSX,-,8K,東芝/東芝ＥＭＩ,フラッシュスプラッシュ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,デービーソフト,フラッピーリミテッド,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,カシオ,フラッピーリミテッド,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,MSX,-,16K,デービーソフト,フラッピーリミテッド'85,￥,￥0代,1,Mirrored,,,,,,,,
1990-01-01,MSXTurboR,-,2M,アスキー,フリートコマンダーII黄昏の海域,"￥9,800","￥10,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,MSX,-,32K,マイクロネット,フリッキー,"￥4,400","￥4,500代",1,Mirrored,,,石川ヒデキ|片木秀一,石井洋児|川崎吉喜,,,,
1983-01-01,MSX,-,16K,スペクトラ・ビデオ,フリッパースリッパー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,ソニー,プリンターソフトプリントラボ,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,MSX,-,32K,コンプティーク,ブルース・リー,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,8K,ＨＡＬ研究所,フルーツサーチ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ＨＡＬ研究所,ブルとマイティー危機一髪,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,ヤマハ,プレイカードセット,"￥12,800","￥13,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,アスキー,ブレイクアウト,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,MSX,-,64K,ジャレコ,ブレイクイン(BREAKIN),"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ソニー,プレイボール,"￥6,900","￥7,000代",1,"[プレイボール] rom",,,,,,,,
1988-01-01,MSX2,-,1M,パック・イン・ビデオ,プレデター,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,1M,ポニーキャニオン,プロジェクトA2史上最大の標的,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,マイケル・ライ,ジャッキー・チェン|エドワード・タン,,
1983-01-01,MSX,-,8K,コナミ,フロッガー(FROGGER),"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,ブロッケードランナー,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,不明,ソニー,プロッ太,"￥6,800","￥7,000代",1,?,,,,,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,プロテクター,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,徳間書店／テクノポリス,プロフェッショナルベースボール,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,シャノアール,プロフェッショナル麻雀,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,1M,シャノアール,プロフェッショナル麻雀悟空,"￥6,800","￥7,000代",1,ASCII_16KB+SRAM,,,,,,,,
1984-01-01,MSX,-,16K,タイトー／ニデコ,フロントライン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,MSX2,-,2M,ナムコ,プロ野球ファミリースタジアムペナントレース,"￥7,800","￥8,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,MSX2,-,2M,日本テレネット,プロ野球FANテレネットスタジアム,￥,￥0代,1,ASCII_8KB,,,,,,,,
1983-01-01,MSX,-,16K,アスキー,ペアーズ,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,MSX,-,不明,ヤマハ,ベーシックヘルパー,"￥9,800","￥10,000代",1,?,,,,,,,,
1986-01-01,MSX,-,32K,ビクター音産,ペガサス,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,8K,ＨＡＬ研究所,ヘビーボクシング,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,NABU,ヘリタンク,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,アスキー,ぺんぎんくんウォーズ,"￥5,800","￥6,000代",1,Mirrored,,,,藤沢勉,,,,
1988-01-01,MSX2,-,2M,アスキー,ぺんぎんくんウォーズ2,"￥6,800","￥7,000代",1,ASCII_16KB,,,,藤沢勉,,,,
1986-01-01,MSX,-,32K,ビクター音産,ポイントX占領作戦,"￥5,800","￥6,000代",1,*0,,,,,,,,
1986-01-01,MSX,-,32K,システムソフト,ぼうけんろまん(冒険浪漫),"￥4,800","￥5,000代",1,Standard(startat0x4000),,,,,,,,
1984-01-01,MSX,-,16K,松下電器産業,ホームカルク,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ＨＡＬ研究所,ホールインワン,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ＨＡＬ研究所,ホールインワンプロフェッショナル,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,ＨＡＬ研究所,ホールインワンスペシャル,"￥5,600","￥5,500代",1,ASCII_16KB,,,,,,,,
1980-01-01,不明,-,不明,ポニーキャニオン,ボールブレイザー,￥,￥0代,1,?,,,,,,,リック・ルービン|マイク・フレイザー,
1984-01-01,MSX,-,8K,日本コロムビア,ボギー'84,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,アスキー,ボコスカウォーズ,"￥4,800","￥5,000代",1,Mirrored,,,,住井浩司,,,,
1984-01-01,MSX,-,32K,ナムコ,ボスコニアン,"￥4,500","￥4,500代",1,Mirrored,,,黒須一雄,佐藤誠市|横山茂|澤野和則|小野浩,大野木宜幸,,,
1984-01-01,MSX,-,16K,マスティール,ポパック・ザ・フィッシュ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ポニーキャニオン,ポリスストーリー,"￥4,900","￥5,000代",1,Mirrored,,,,,マイケル・ライ,エドワード・タン|ジャッキー・チェン,,
