発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1998-06-19,1,6,SLG,アスキー,ミニ四駆GBLet's＆Go！！オールスターバトルMAX,"￥4,800","￥5,000代",0,,,,,,,,
1998-06-19,1,5,PZL,カルチャーブレーン,忍たま乱太郎GB絵あわせチャレンジパズル,"￥3,980","￥4,000代",0,,,,,,,,
1998-06-26,1,4,ETC,イマジニア,合格ボーイシリーズ■いアタマを●くする。数字で遊ぼう算数編,"￥2,480","￥2,500代",0,,,,,,,,
1998-06-26,1,4,SLG,バンプレスト,いつでも！にゃんとワンダフル,"￥3,980","￥4,000代",0,,,,,,,,
1998-06-26,1,5,SLG,アイマックス,日刊べるとも倶楽部,"￥4,500","￥4,500代",0,,,,,,,,
1998-06-26,1,5,SPT,Jウィング,日本代表フランスでがんばれ！Jリーグサポーターサッカー,"￥5,500","￥5,500代",0,,,,,,,,
1998-07-02,1,5,TBL,コナミ,高気圧ボーイ,"￥3,980","￥4,000代",0,,,,山田信洋|田中真二|坂本充子,神尾憲一,吉川兆二,下村聡,
1998-07-10,1,4,ETC,イマジニア,合格ボーイシリーズ99年度版英単語センター1500,"￥2,480","￥2,500代",0,,,,,,,,
1998-07-10,1,5,TBL,Jウィング,GO！GO！ヒッチハイク,"￥4,800","￥5,000代",0,,,,,,,,
1998-07-10,1,6,RPG,パック・イン・ソフト,海のぬし釣り2,"￥3,600","￥3,500代",0,,,,,,,,
1998-07-17,1,5,RPG,スターフィッシュ,化石創世リボーン,"￥3,980","￥4,000代",0,,,,,,,,
1998-07-24,1,5,SPT,バンダイ,グランダー武蔵RV,"￥5,800","￥6,000代",0,,,,加瀬政広(第1期)|平岡正幸|入好さとる(RV),淡海悟郎,藤本信行,,
1998-07-24,1,5,ETC,トミー,東京ディズニーランドファンタジーツアー,"￥4,200","￥4,000代",0,,,,,,,,
1998-07-24,1,5,SPT,スターフィッシュ,爆釣列伝翔～ハイパーバスフィッシング～,"￥3,980","￥4,000代",0,,,,,,,,
1998-07-24,1,5,ETC,バンダイ,魚群探知機ポケットソナー,"￥14,800","￥15,000代",0,,,,,,,,
1998-07-31,1,3,PZL,アクレイムジャパン,ブレインドレイン,"￥3,500","￥3,500代",0,,,,,,,,
1998-07-31,1,5,TBL,ジャレコ,早押しクイズ～王座決定戦～,"￥3,980","￥4,000代",0,,,,,,,,
1998-07-31,1,5,TBL,ハドソン,桃太郎電鉄jr.全国ラーメンめぐりの旅,"￥3,980","￥4,000代",0,,さくまあきら(監督)|こまいかずお,,土居孝幸,関口和之|宮路一昭,,浦敏治,
1998-08-06,1,4,PZL,サンソフト,上海Pocket,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-07,1,4,ACT,スターフィッシュ,テュロック～バイオノザウルスの戦い～,"￥3,980","￥4,000代",0,,,ロバート・コーエン,デヴィッド・ディーンストビール|アラン・D・ジョンソン|ドン・パーリン(英語版),ダレン・ミッチェル,ジェフ・ゴメス(英語版)|ボブ・レイトン(英語版),デヴィッド・ディーンストビール,
1998-08-07,1,5,SLG,バンプレスト,超魔神英雄伝ワタルまぜっこモンスター2,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-07,1,4,ADV,バンダイ,名探偵コナン疑惑の豪華列車,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-09,1,5,SLG,ハドソン,ポケットファミリーGB,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-28,1,5,SLG,Jウィング,昆虫博士,"￥4,800","￥5,000代",0,,,,,,,,
1998-09-11,1,4,TBL,ボトムアップ,ポケット将棋,"￥3,980","￥4,000代",0,,,,,,,,
1998-09-11,1,6,FTG,アクレイムジャパン,モータルコンバット＆モータルコンバット2,"￥3,980","￥4,000代",0,,,,,,,,
1998-09-11,1,5,RPG,Jウィング,釣り先生,"￥4,800","￥5,000代",0,,,,,,,大瀧詠一,
1998-09-12,1,6,RPG,任天堂,ポケットモンスターピカチュウ,"￥3,000","￥3,000代",316,,田尻智,太田健程|森本茂樹|渡辺哲也|増田順一,田尻智|杉森建|西田敦子|藤原基史|森本茂樹,増田順一,"田尻智|たにぐち りょうすけ|野々村文宏|陣内弘之",宮本茂|川口孝司|石原恒和,
1998-09-18,1,5,ACT,ハドソン,超速スピナー,"￥4,500","￥4,500代",0,,,,,,,,
1998-09-25,2,7,RPG,エニックス,ドラゴンクエストモンスターズテリーのワンダーランド,"￥4,900","￥5,000代",235,,,,堀井雄二|鳥山明,すぎやまこういち,堀井雄二|佐々木智広,千田幸信,
1998-09-25,1,3,SPT,ボトムアップ,ポケットゴルフ,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-02,1,5,RPG,コーエー,もんすたあ★レースおかわり,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-15,1,5,RPG,コナミ,爆釣リトリーブマスター,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-16,1,5,SLG,キングレコード,新競馬貴族ポケットジョッキー,"￥5,800","￥6,000代",0,,,,,,,,
1998-10-21,2,6,TBL,NECインターチャネル,グローカルヘキサイト,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-21,2,5,PZL,任天堂,テトリスデラックス,"￥3,500","￥3,500代",0,,,,,,,,
1998-10-21,2,7,ACT,任天堂,ワリオランド2盗まれた財宝,"￥3,500","￥3,500代",0,,細川豪彦,山中勝,清武博二,石川こずえ,,出石武宏,
1998-10-23,2,5,SPT,アテナ,ポケットボウリングGB,"￥3,800","￥4,000代",0,,,,,,,,
1998-10-30,1,5,SLG,ココナッツジャパンエンターテイメント,ポケット電車,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-06,1,2,TBL,アイマックス,詰め将棋廉価版,"￥4,200","￥4,000代",0,,,,,,,,
1998-11-13,2,6,TBL,童,本格将棋将棋王,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-20,2,6,SLG,ハドソン,ゲームボーイウォーズ2,"￥4,200","￥4,000代",0,,,,,,,,
1998-11-27,2,6,RPG,イマジニア,サンリオタイムネット過去編,"￥3,500","￥3,500代",0,,,,,,,,
1998-11-27,2,6,RPG,イマジニア,サンリオタイムネット未来編,"￥3,500","￥3,500代",0,,,,,,,,
1998-11-27,2,6,SPT,スターフィッシュ,スーパーブラックバスポケット3スターフィッシュ釣り,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-27,1,4,ETC,エポック社,ドラえもんのGAMEBOYであそぼうよデラックス10,"￥3,800","￥4,000代",0,,,,,,,,
1998-11-27,2,6,PZL,コンパイル,ぽけっとぷよぷよSUN,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-27,1,5,FTG,カプコン,激闘パワーモデラー,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-04,2,6,RPG,ハドソン,ロボットポンコッツ(星バージョン),"￥3,980","￥4,000代",0,,,,,,,,
1998-12-04,2,6,RPG,ハドソン,ロボットポンコッツ(太陽バージョン),"￥3,980","￥4,000代",0,,,,,,,,
1998-12-11,2,6,ACT,スターフィッシュ,カラムー町は大さわぎ！～ポリンキーズとおかしな仲間たち～,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-11,2,6,TBL,ハズブロージャパン,ゲームボーイモノポリー,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-11,2,6,RPG,タム,バーコード対戦バーディガン,"￥5,500","￥5,500代",0,,,,,,,,
1998-12-11,2,6,TBL,トミー,ロードス島戦記-英雄騎士伝-,"￥3,980","￥4,000代",0,,,,,,安田均(テーブルトークRPG),,
1998-12-12,2,6,RPG,任天堂,ゼルダの伝説夢をみる島DX,"￥3,500","￥3,500代",0,,手塚卓志,森田和明|葛原貴光,山村康久|有本正直|日野重文|小田部羊一,濱野美奈子|石川こずえ|戸高一生,田邊賢輔|小泉歓晃,宮本茂,
1998-12-12,2,6,ETC,イマジニア,フェアリーキティの開運辞典～妖精の国の占い修行～,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-17,1,6,TBL,コナミ,遊戯王デュエルモンスターズ,"￥4,300","￥4,500代",161,,,,"荒木伸吾|姫野美智|原憲一(第145話 - 第184話)|加々美高浩(第199話 - 第224話)|小海雄司",光宗信吉,高橋和希|スタジオ・ダイス,,
1998-12-18,2,3,ACT,ボトムアップ,ポケットカラーブロック,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-18,2,3,RAC,ポニーキャニオン,ザ・首都高レーシング,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-18,1,6,ETC,アトラス,プリクラポケット3～タレントデビュー大作戦,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-18,2,6,TBL,任天堂,ポケモンカードGB,"￥3,500","￥3,500代",139,,,,,,,,
1998-12-23,2,6,TBL,Jウィング,麻雀クエスト,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-24,2,6,RPG,ハドソン,ボンバーマンクエスト,"￥3,800","￥4,000代",0,,藤原茂樹|池之内武志,荘埜毅明|山下孝|ふじもとせいいち,水野祥司|佐藤梢,入江茂明|麻生美咲|植木啓示|高橋悟朗|富樫則彦|竹間淳,,猪狩寛,
1998-12-25,1,4,ETC,イマジニア,合格ボーイシリーズ「読み解き古文単語」準拠Z会<例文で覚える>究極の古文単語～古文知識・文法基礎入り～,"￥2,000","￥2,000代",0,,,,,,,,
1998-12-25,1,3,TBL,ギャップス,小島武夫・灘麻太郎の実践麻雀教室,"￥3,800","￥4,000代",0,,,,,,,,
1999-01-01,2,6,RPG,タムソフト,バーディガンライトバージョン限定スペシャルBOX！,?,#VALUE!,0,,,,,,,,
1999-01-14,2,6,RPG,コナミ,がんばれゴエモン天狗党の逆襲,"￥4,300","￥4,500代",0,,,,,,,,
1999-01-28,1,6,ETC,BOSSコミュニケーションズ,PachinkoDataCardちょ～あたる君,"￥4,980","￥5,000代",0,,,,,,,,
1999-01-29,2,6,RPG,メディアファクトリー,Bビーダマン爆外伝～ビクトリーへのみち～,"￥3,980","￥4,000代",0,,,,,,,,
1999-01-29,2,6,ACT,ケムコ,バックスバニークレイジーキャッスル3,"￥3,980","￥4,000代",0,,,,,,小山内美江子・清水有生ほか,竹之下寛次,
1999-02-11,2,8,SLG,コナミ,ときめきメモリアルPOCKETカルチャー編～木漏れ日のメロディ～,"￥4,300","￥4,500代",0,,,,,,,,
1999-02-11,2,8,SLG,コナミ,ときめきメモリアルPOCKETスポーツ編～校庭のフォトグラフ～,"￥4,300","￥4,500代",0,,,,,,,,
1999-02-12,2,6,RPG,スターフィッシュ,化石創世リボーン2～モンスターディガー～,"￥3,980","￥4,000代",0,,,,,,,,
1999-02-19,1,4,RPG,アスキー,ウィザードリィ外伝1[復刻版],"￥4,500","￥4,500代",0,,,,,,,,
1999-02-19,1,4,RPG,アスキー,ウィザードリィ外伝2[復刻版],"￥4,500","￥4,500代",0,,,,,,,,
1999-02-19,1,5,RPG,アスキー,ウィザードリィ外伝3[復刻版],"￥5,000","￥5,000代",0,,,,,,,,
1999-02-19,2,6,TBL,童,本格四人打ち麻雀麻雀王,"￥2,980","￥3,000代",0,,,,,,,,
1999-02-26,2,6,SLG,アトラス,ハムスターパラダイス,"￥3,980","￥4,000代",0,,,,,,,,
1999-02-26,2,7,RPG,ハドソン,ポヨンのダンジョンルーム,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-05,2,4,PZL,アルトロン,ROX6=Six,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-11,2,6,ETC,コナミ,ビートマニアGB,"￥4,300","￥4,500代",0,,,,,,,,
1999-03-12,1,4,ETC,イマジニア,合格ボーイシリーズ■いアタマを●くする。算数バトル編,"￥2,480","￥2,500代",0,,,,,,,,
1999-03-12,2,4,PZL,エポック社,おはスタやまちゃん＆レイモンド,"￥3,800","￥4,000代",0,,,,,,,,
1999-03-12,2,6,RAC,エポック社,ドラえもんカート2,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-12,2,7,RPG,コーエー,もんすたあ★レース2,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-12,2,6,RPG,メサイヤ,王ドロボウJINGエンジェル,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-12,2,6,RPG,メサイヤ,王ドロボウJINGデビル,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-12,2,6,SPT,魔法,甲子園ポケット,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-19,2,6,TBL,アテナ,プロ麻雀極GB2,"￥4,200","￥4,000代",0,,,,,,,,
1999-03-19,2,6,FTG,タカラ,決闘ビーストウォーズビースト戦士最強決定戦,"￥3,680","￥3,500代",0,,,,,,,,
1999-03-19,2,6,RPG,アトラス,女神転生外伝ラストバイブル,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-19,2,4,TBL,ポニーキャニオン,将棋2,"￥3,480","￥3,500代",0,,,,,,,,
1999-03-19,2,6,TBL,ハドソン,大貝獣物語ザ・ミラクル・オブ・ザ・ゾーン2,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-26,2,6,SLG,魔法,クイクイ,"￥3,980","￥4,000代",0,,,,,,,,
1999-03-26,2,6,TBL,ギャップス,バーガーバーガーポケット,"￥3,800","￥4,000代",0,,,,,,,,
1999-04-01,2,7,SPT,コナミ,パワプロクンポケット,"￥4,500","￥4,500代",0,,藤岡謙治,井上秀登|西川直樹|宮岡宏司,藤岡謙治|前川恵一,砂子純子|くすのきあつし|小倉努|荒木茂,,赤田勲,
1999-04-02,2,6,SLG,ココナッツジャパンエンターテイメント,ポケット電車2,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-08,2,6,ACT,任天堂,ゲームボーイギャラリー3,"￥10,000","￥10,000代",0,,山上仁志,高瀬栄|広尾敏文|やまざきたけし,城山功|たちばなえいじ,水田陽子|杉田仁,,出石武宏,
1999-04-09,2,6,TBL,カルチャーブレーン,加藤一二三九段の将棋教室,"￥3,200","￥3,000代",0,,,,,,,,
1999-04-09,2,6,SLG,コーエー,信長の野望ゲームボーイ版2,"￥4,800","￥5,000代",0,,,,,菅野よう子|山本光男,,シブサワ・コウ,
1999-04-14,2,6,TBL,任天堂,ポケモンピンボール,"￥3,800","￥4,000代",102,,,,,,,,
1999-04-16,2,6,TBL,アルトロン,チェックメイト,"￥4,500","￥4,500代",0,,,,,,,,
1999-04-16,2,6,RPG,アトラス,女神転生外伝ラストバイブル2,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-23,2,5,SPT,エポック社,ゴルフDEおはスタ,"￥3,980","￥4,000代",0,,,,,,大場つぐみ,,
1999-04-23,3,6,RAC,ケムコ,トップギア・ポケット,"￥4,500","￥4,500代",0,,,,,,,,
1999-04-23,2,6,PZL,タイトー,プチカラット,"￥3,800","￥4,000代",0,,藤渡尊浩,金子道明|粕谷智昭|南雲泰人,谷口敦|藤渡尊浩|前田千穂|二宮健|福崎真理|金子陽子|藤本一弘|ディスティーノブ|渡部恭久|香宗我部恭信,渡部恭久,,谷口敦,
1999-04-23,2,5,SPT,ナツメ,リアルプロ野球！セントラルリーグ編,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-23,2,5,SPT,ナツメ,リアルプロ野球！パシフィックリーグ編,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-23,2,6,TBL,タカラ,人生ゲーム友達たくさんつくろうよ！,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-28,2,7,RPG,Jウィング,ディノブリーダー3～ガイア復活～,"￥4,800","￥5,000代",0,,くれやまと,まつながちえみ|山本哲也,"永島三人|ロボロフスキー|舟橋正恭|ZA-ZA KOBAYASHI","NIKAIUTA UOH",,,
1999-04-28,2,6,PZL,イマジニア,パズルコレクションハローキティのマジカルミュージアム,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-28,2,7,SLG,コナミ,ポケットGIステイブル,"￥4,500","￥4,500代",0,,,,,,,,
1999-04-28,2,6,PZL,コナミ,花さか天使テンテンくんのビートブレイカー,"￥4,300","￥4,500代",0,,,,,,,,
1999-04-29,2,6,TBL,スターフィッシュ,パチパチパチス郎～ニューパルサー編～,"￥3,980","￥4,000代",0,,,,,,,,
1999-04-30,2,6,ACT,カルチャーブレーン,SD飛龍の拳外伝EX,"￥3,900","￥4,000代",0,,,,,,,,
1999-05-13,2,6,RAC,コナミ,IT'sワールドラリー,"￥4,300","￥4,500代",0,,,,,,,山下達郎,
1999-05-20,2,5,SLG,エム・ティー・オー,カードキャプターさくら～いつもさくらちゃんといっしょ～,"￥3,980","￥4,000代",0,,,,,,,,
1999-05-27,2,6,SLG,スターフィッシュ,カンヅメモンスターパフェ,"￥3,980","￥4,000代",0,,,,,,,,
1999-05-28,2,6,ACT,ポニーキャニオン,ピットフォールGB,"￥3,980","￥4,000代",0,,,,,,,,
1999-05-29,2,6,SLG,コーエー,学級王ヤマザキゲームボーイ版,"￥3,980","￥4,000代",0,,,,,,,,
1999-06-03,2,8,ETC,Jウィング,漢字BOY,"￥4,800","￥5,000代",0,,,,,,,,
1999-06-04,2,6,ETC,ヘクト,パチンコCRモーレツ原始人T,"￥3,980","￥4,000代",0,,,,,,,,
1999-06-11,2,4,TBL,ボトムアップ,ポケット花札,"￥4,500","￥4,500代",0,,,,,,,,
1999-06-11,3,5,PZL,ヒューマン,ルーカのパズルで大冒険,"￥3,800","￥4,000代",0,,,,,,,,
1999-06-17,2,6,RPG,コナミ,サバイバルキッズ～孤島の冒険者,"￥4,300","￥4,500代",0,,,,,,,,
1999-06-24,2,8,RPG,Jウィング,あにまるぶり～だ～3,"￥4,800","￥5,000代",0,,,,,,小山内美江子・清水有生ほか,竹之下寛次,
1999-06-24,2,6,SPT,コナミ,ワールドサッカーGB2,"￥4,300","￥4,500代",0,,,,,,,,
1999-06-25,2,6,TBL,カルチャーブレーン,坂田吾朗九段の連珠教室,"￥3,200","￥3,000代",0,,,,,,,,
1999-07-01,2,6,SPT,コナミ,ハイパーオリンピックシリーズトラック＆フィールドGB,"￥4,300","￥4,500代",0,,,,,,,,
1999-07-08,2,8,TBL,コナミ,遊戯王デュエルモンスターズ2闇界決闘記,"￥4,500","￥4,500代",110,,,,,,,,
1999-07-09,2,6,TBL,カルチャーブレーン,プロ麻雀「兵」GB,"￥3,900","￥4,000代",0,,,,,,,,
1999-07-16,1,4,ETC,イマジニア,合格ボーイシリーズ■いアタマを●くする。社会バトル編,"￥2,480","￥2,500代",0,,,,,,,,
1999-07-16,2,8,SPT,デジタルキッズ,ゴルフ王,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-16,2,6,RPG,パック・イン・ソフト,川のぬし釣り4,"￥4,200","￥4,000代",0,,,,,,,石川真理子,
1999-07-17,2,6,PZL,イマジニア,パズルコレクションハローキティのビーズ工房,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-23,3,6,ACT,ケムコ,スパイVSスパイ,"￥3,980","￥4,000代",0,,,,マイケル・J・リーデル,,,,
1999-07-23,2,6,ACT,エポック社,ドラえもんあるけあるけラビリンス,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-23,3,6,RPG,キングレコード,ポケットルアーボーイ,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-23,2,7,RPG,イマジニア,メダロット2(カブトバージョン),"￥3,980","￥4,000代",0,,,,,,,,
1999-07-23,2,7,RPG,イマジニア,メダロット2(クワガタバージョン),"￥3,980","￥4,000代",0,,,,,,,,
1999-07-23,2,7,RPG,Jウィング,昆虫博士2,"￥4,800","￥5,000代",0,,,,,,,,
1999-07-23,3,7,RPG,ハドソン,次世代ベーゴマバトルベイブレード,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-23,2,7,RPG,Jウィング,釣り先生2,"￥4,800","￥5,000代",0,,,,,,,,
1999-07-23,3,6,STG,キッド,無頼戦士カラー,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-30,2,6,RPG,キッド,ジェムジェムモンスター,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-30,2,7,RAC,タカラ,チョロQカスタマブルGB,"￥3,980","￥4,000代",0,,,,,,,,
1999-07-30,2,6,SLG,コーエー,三国志ゲームボーイ版2,"￥4,800","￥5,000代",0,,,,,向谷実,,シブサワ・コウ,
1999-08-05,2,6,RPG,コナミ,アザーライフアザードリームスGB,"￥4,300","￥4,500代",0,,堀尾健一郎,函館次郎|堀尾健一郎|小木曽一公|石川和男|菊地雄治|長倉政章,堀尾健一郎|山田耕司|服部桂介,田廻弘志,山田耕司|堀尾健一郎,北上一三,
1999-08-06,3,7,SLG,ハドソン,ポケットファミリーGB2,"￥3,980","￥4,000代",0,,,,,,,,
1999-08-06,2,7,SLG,ビクターインタラクティブソフトウェア,牧場物語GB2,"￥3,980","￥4,000代",0,,,,和田康宏|まつやまいぐさ,,,和田康宏,
1999-08-10,3,7,SPT,任天堂,マリオゴルフGB,"￥3,800","￥4,000代",0,,,,,,,,
1999-08-13,2,6,ETC,ジャレコ,Get虫'倶楽部みんなの昆虫大図鑑,"￥4,400","￥4,500代",0,,,,,,,,
1999-08-13,3,6,SPT,エポック社,JリーグエキサイトステージGB,"￥3,980","￥4,000代",0,,,,,,,,
1999-08-13,2,6,ADV,ケムコ,シャドウゲイトリターン,"￥3,980","￥4,000代",0,,デヴィッド・マーシュ|カール・ローロフス,,,,,スコット・バーフィールド,
1999-08-27,2,6,SLG,コンパイル,ぷよぷよ外伝ぷよウォーズ,"￥3,980","￥4,000代",0,,,,,ナオト・インティライミ(作詞・作曲),,,
1999-08-27,2,6,TBL,アルトロン,バックギャモン,"￥3,980","￥4,000代",0,,,,,,,,
1999-09-03,2,7,ETC,パック・イン・ソフト,まじょっコマリちゃんのきせかえ物語,"￥3,800","￥4,000代",0,,,,,,,,
1999-09-10,2,6,RPG,アトラス,ぐるぐるガラクターズ,"￥4,300","￥4,500代",0,,,,,,,,
1999-09-10,2,6,ACT,スターフィッシュ,テュロック2～時空戦士～,"￥3,980","￥4,000代",0,,,,,,,,
1999-09-23,2,6,RPG,タイトー,かわいいペットショップ物語,"￥3,980","￥4,000代",0,,,,,,,,
1999-09-23,2,7,RPG,エニックス,ドラゴンクエスト1・2,"￥4,900","￥5,000代",0,,,,堀井雄二|鳥山明,すぎやまこういち,堀井雄二,青海亮太,
1999-09-24,1,4,ETC,イマジニア,合格ボーイシリーズ■いアタマを●くする。国語バトル編,"￥2,680","￥2,500代",0,,,,,,,,
1999-10-01,3,6,RAC,キッド,フロントロウ,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-01,2,6,SLG,バンプレスト,スーパーロボット大戦リンクバトラー,"￥4,500","￥4,500代",0,,,,,,,,
1999-10-08,2,6,TBL,ツクダオリジナル,オセロミレニアム,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-08,3,6,SPT,ボトムアップ,スーパーリアルフィッシング,"￥4,500","￥4,500代",0,,,,,,,,
1999-10-08,2,6,RPG,バンプレスト,格闘料理伝説ビストロレシピ激闘フードバトル編,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-14,3,6,RAC,スパイク,V-RALLYチャンピオンシップエディション,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-15,2,7,ADV,エポック社,シルバニアファミリー～おとぎの国のペンダント～,"￥3,980","￥4,000代",0,,,,,,吉田秋生,,
1999-10-15,3,6,ADV,ケムコ,ディジャブ1＆2TheCasebooksofAceHarding,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-15,3,6,RAC,エム・ティー・オー,ポケットGT,"￥3,980","￥4,000代",0,,,,,高野寛|福廣秀一朗(リバイバル),遊川和彦|菅良幸|山岡潤平(リバイバル),安藤和久|河西秀幸|田端綾子,
1999-10-21,2,7,RPG,コナミ,銃鋼戦記バレットバトラー,"￥4,500","￥4,500代",0,,,,,,,,
1999-10-22,2,6,SLG,タム,アクアライフ,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-22,3,6,PZL,タイトー,クイックスアドベンチャー,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-22,3,7,SLG,アテナ,夜光虫GB,"￥3,800","￥4,000代",0,,,,,,,,
1999-10-29,3,6,RPG,スターフィッシュ,ウィザードリィエンパイア,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-29,2,6,PZL,イマジニア,ウェットリスGB,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-29,2,7,SPT,キッド,ゴルフだいすき！Let'sPlayGOLF,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-29,2,7,SLG,ジョルダン,ハムスター倶楽部,"￥3,980","￥4,000代",0,,,,,,,,
1999-10-29,2,7,RPG,イマジニア,メダロット2パーツコレクション,"￥3,980","￥4,000代",0,,,,,,,,
1999-11-05,1,4,ETC,イマジニア,合格ボーイシリーズ■いアタマを●くする。理科バトル編,"￥2,680","￥2,500代",0,,,,,,,,
1999-11-05,2,5,PZL,メディアファクトリー,コラムスGB～手塚キャラクターズ～,"￥3,800","￥4,000代",0,,,,,,,,
1999-11-12,2,6,STG,エポック社,R-TYPEDX,"￥3,980","￥4,000代",0,,,,,,,,
1999-11-12,3,6,PZL,カプコン,テトリスアドベンチャーすすめミッキーと仲間たち,"￥3,800","￥4,000代",0,,,,,,,,
1999-11-21,2,6,RPG,任天堂,ポケットモンスター金,"￥3,800","￥4,000代",353,,田尻智|増田順一(サブディレクター),渡辺哲也|森本茂樹|玉田荘介|太田健程,田尻智|西野弘二|森本茂樹|増田順一|松島賢二|杉森建|藤原基史|森本茂樹|にしだあつこ|吉田宏信|斉藤むねお|太田敏|吉川玲奈|奥谷順|岩下明日香|渡辺哲也,増田順一|一之瀬剛,松宮稔展|松島賢二,出石武宏|川口孝司|石原恒和|山内溥,
1999-11-21,2,6,RPG,任天堂,ポケットモンスター銀,"￥3,800","￥4,000代",364,,,,,,,,
1999-11-25,2,6,ETC,コナミ,ビートマニアGB2ガッチャミックス,"￥4,300","￥4,500代",0,,,,,,,,
1999-11-25,2,6,ETC,コナミ,筋肉番付GB～挑戦者はキミだ！～,"￥4,500","￥4,500代",0,,,,,,,,
1999-11-26,3,6,ACT,アルトロン,リトルマジック,"￥3,980","￥4,000代",0,,,,,,,,
1999-12-03,2,6,TBL,バンプレスト,ザ・グレイトバトルPOCKET,"￥3,980","￥4,000代",0,,,,,,,,
1999-12-03,2,6,ETC,ピノチオ,それいけ！アンパンマン不思議なニコニコアルバム,"￥4,300","￥4,500代",0,,,,,,,,
1999-12-10,2,4,PZL,BPS,スーパーボンブリスDX,"￥3,980","￥4,000代",0,,,,,,,,
1999-12-10,3,7,RPG,ボトムアップ,グランデュエル～深きダンジョンの秘宝～,"￥4,500","￥4,500代",0,,,,,,,,
1999-12-10,3,8,SPT,スターフィッシュ,スーパーブラックバス～リアル・ファイト～,"￥4,500","￥4,500代",0,,,,,,,,
1999-12-10,2,6,TBL,エム・ティー・オー,みんなの将棋-初級編-,"￥3,980","￥4,000代",0,,,,,,,,
1999-12-10,2,6,RPG,バンプレスト,格闘料理伝説ビストロレシピ～決闘★ビストガルム編～,"￥3,980","￥4,000代",0,,,,,,,,
1999-12-10,3,8,SLG,サイバーフロント,電車でGO！,"￥4,200","￥4,000代",0,,,,,,,,
1999-12-16,2,7,RPG,コナミ,がんばれゴエモン～もののけ道中飛び出せ鍋奉行！～,"￥4,500","￥4,500代",0,,堀江浩司,堂前嘉樹|片岡健一|中塚公彦,堀江浩司|片岡健一|難波和宏|叶地規代子,戸島壮太郎|岩切剛丈,,蛭子悦延,
1999-12-17,2,6,ETC,コーエー,スウィートアンジェ,"￥3,980","￥4,000代",0,,,,,,,,
1999-12-17,3,6,RAC,ケムコ,トップギア・ポケット2,"￥4,200","￥4,000代",0,,,,,,,,
