🌡️平均気温の合計(℃),☔降水量の合計(mm),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,⚪未使用1,⚪未使用2,🌡️平均気温(℃),❄️降雪量合計(cm),💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1886-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1886-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1887-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1888-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-01,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-02,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-03,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-04,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-05,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-06,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-07,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-08,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-09,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-10,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-11,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1889-12,0,0,0,福岡県,福岡市,,0,0,0,0,0,0,0,0,0,0,0
1890-01,116.2,0,0,福岡県,福岡市,,0,5.6,0,78,0,0,0,0,0,0,0
1890-02,106.9,0,0,福岡県,福岡市,,0,8.1,0,79,0,0,0,0,0,0,0
1890-03,168.3,0,0,福岡県,福岡市,,0,9.0,0,80,0,0,0,0,0,0,0
1890-04,215.8,0,0,福岡県,福岡市,,0,15.1,0,80,0,0,0,0,0,0,0
1890-05,231.4,0,0,福岡県,福岡市,,0,17.1,0,80,0,0,0,0,0,0,0
1890-06,190.4,0,0,福岡県,福岡市,,0,21.8,0,81,0,0,0,0,0,0,0
1890-07,406.2,0,0,福岡県,福岡市,,0,25.3,0,81,0,0,0,0,0,0,0
1890-08,68.2,0,0,福岡県,福岡市,,0,25.7,0,81,0,0,0,0,0,0,0
1890-09,57.2,0,0,福岡県,福岡市,,0,23.2,0,81,0,0,0,0,0,0,0
1890-10,112.7,0,0,福岡県,福岡市,,0,16.1,0,79,0,0,0,0,0,0,0
1890-11,61.9,0,0,福岡県,福岡市,,0,12.1,0,77,0,0,0,0,0,0,0
1890-12,195.6,0,0,福岡県,福岡市,,0,10.2,0,78,0,0,0,0,0,0,0
1891-01,56.7,0,0,福岡県,福岡市,,0,3.9,0,77,0,0,0,0,0,0,0
1891-02,84.8,0,0,福岡県,福岡市,,0,5.5,0,79,0,0,0,0,0,0,0
1891-03,87.1,0,0,福岡県,福岡市,,0,8.5,0,75,0,0,0,0,0,0,0
1891-04,83.0,0,0,福岡県,福岡市,,0,12.5,0,76,0,0,0,0,0,0,0
1891-05,39.0,0,0,福岡県,福岡市,,0,16.8,0,73,0,0,0,0,0,0,0
1891-06,134.4,0,0,福岡県,福岡市,,0,20.2,0,78,0,0,0,0,0,0,0
1891-07,668.7,0,0,福岡県,福岡市,,0,24.5,0,84,0,0,0,0,0,0,0
1891-08,212.4,0,0,福岡県,福岡市,,0,25.8,0,85,0,0,0,0,0,0,0
1891-09,300.6,0,0,福岡県,福岡市,,0,24.0,0,85,0,0,0,0,0,0,0
1891-10,32.6,0,0,福岡県,福岡市,,0,16.9,0,79,0,0,0,0,0,0,0
1891-11,51.8,0,0,福岡県,福岡市,,0,11.7,0,78,0,0,0,0,0,0,0
1891-12,59.6,0,0,福岡県,福岡市,,0,7.0,0,75,0,0,0,0,0,0,0
1892-01,39.0,0,0,福岡県,福岡市,,0,4.8,0,75,0,0,0,0,0,0,0
1892-02,90.8,0,0,福岡県,福岡市,,0,5.3,0,77,0,0,0,0,0,0,0
1892-03,101.2,0,0,福岡県,福岡市,,0,6.4,0,74,0,0,0,0,0,0,0
1892-04,144.2,0,0,福岡県,福岡市,,0,13.5,0,77,0,0,0,0,0,0,0
1892-05,189.2,0,0,福岡県,福岡市,,0,16.5,0,82,0,0,0,0,0,0,0
1892-06,186.8,0,0,福岡県,福岡市,,0,21.4,0,87,0,0,0,0,0,0,0
1892-07,122.5,0,0,福岡県,福岡市,,0,26.5,0,84,0,0,0,0,0,0,0
1892-08,87.0,0,0,福岡県,福岡市,,0,26.5,0,82,0,0,0,0,0,0,0
1892-09,136.8,0,0,福岡県,福岡市,,0,22.8,0,83,0,0,0,0,0,0,0
1892-10,111.1,0,0,福岡県,福岡市,,0,15.2,0,81,0,0,0,0,0,0,0
1892-11,71.9,0,0,福岡県,福岡市,,0,10.9,0,76,0,0,0,0,0,0,0
1892-12,35.8,0,0,福岡県,福岡市,,0,5.1,0,70,0,0,0,0,0,0,0
1893-01,45.1,0,0,福岡県,福岡市,,0,4.6,0,77,0,0,0,0,0,0,0
1893-02,66.6,0,0,福岡県,福岡市,,0,3.2,0,75,0,0,0,0,0,0,0
1893-03,67.0,0,0,福岡県,福岡市,,0,7.2,0,72,0,0,0,0,0,0,0
1893-04,77.5,0,0,福岡県,福岡市,,0,12.5,0,76,0,0,0,0,0,0,0
1893-05,125.1,0,0,福岡県,福岡市,,0,16.2,0,79,0,0,0,0,0,0,0
1893-06,135.9,0,0,福岡県,福岡市,,0,20.5,0,82,0,0,0,0,0,0,0
1893-07,48.4,0,0,福岡県,福岡市,,0,26.5,0,80,0,0,0,0,0,0,0
1893-08,209.0,0,0,福岡県,福岡市,,0,26.2,0,83,0,0,0,0,0,0,0
1893-09,203.7,0,0,福岡県,福岡市,,0,24.0,0,85,0,0,0,0,0,0,0
1893-10,228.5,0,0,福岡県,福岡市,,0,16.4,0,78,0,0,0,0,0,0,0
1893-11,84.4,0,0,福岡県,福岡市,,0,10.0,0,70,0,0,0,0,0,0,0
1893-12,25.3,0,0,福岡県,福岡市,,0,6.2,0,72,0,0,0,0,0,0,0
1894-01,64.9,0,0,福岡県,福岡市,,0,4.9,0,77,0,0,0,0,0,0,0
1894-02,64.6,0,0,福岡県,福岡市,,0,5.6,0,77,0,0,0,0,0,0,0
1894-03,120.6,0,0,福岡県,福岡市,,0,8.7,0,77,0,0,0,0,0,0,0
1894-04,142.5,0,0,福岡県,福岡市,,0,14.1,0,80,0,0,0,0,0,0,0
1894-05,19.0,0,0,福岡県,福岡市,,0,17.0,0,76,0,0,0,0,0,0,0
1894-06,181.4,0,0,福岡県,福岡市,,0,23.5,0,82,0,0,0,0,0,0,0
1894-07,61.6,0,0,福岡県,福岡市,,0,27.0,0,79,0,0,0,0,0,0,0
1894-08,4.6,0,0,福岡県,福岡市,,0,27.6,0,77,0,0,0,0,0,0,0
1894-09,157.5,0,0,福岡県,福岡市,,0,22.5,0,81,0,0,0,0,0,0,0
1894-10,9.2,0,0,福岡県,福岡市,,0,16.3,0,77,0,0,0,0,0,0,0
1894-11,70.1,0,0,福岡県,福岡市,,0,12.1,0,77,0,0,0,0,0,0,0
1894-12,129.1,0,0,福岡県,福岡市,,0,7.1,0,75,0,0,0,0,0,0,0
1895-01,50.3,0,0,福岡県,福岡市,,0,3.6,0,73,0,0,0,0,0,0,0
1895-02,87.3,0,0,福岡県,福岡市,,0,5.1,0,72,0,0,0,0,0,0,0
1895-03,148.5,0,0,福岡県,福岡市,,0,8.6,0,78,0,0,0,0,0,0,0
1895-04,56.9,0,0,福岡県,福岡市,,0,13.1,0,77,0,0,0,0,0,0,0
1895-05,33.8,0,0,福岡県,福岡市,,0,17.5,0,76,0,0,0,0,0,0,0
1895-06,259.6,0,0,福岡県,福岡市,,0,21.3,0,83,0,0,0,0,0,0,0
1895-07,268.1,0,0,福岡県,福岡市,,0,23.8,0,83,0,0,0,0,0,0,0
1895-08,21.7,0,0,福岡県,福岡市,,0,26.7,0,82,0,0,0,0,0,0,0
1895-09,48.9,0,0,福岡県,福岡市,,0,22.6,0,81,0,0,0,0,0,0,0
1895-10,64.1,0,0,福岡県,福岡市,,0,16.9,0,78,0,0,0,0,0,0,0
1895-11,62.0,0,0,福岡県,福岡市,,0,11.7,0,76,0,0,0,0,0,0,0
1895-12,94.0,0,0,福岡県,福岡市,,0,6.9,0,72,0,0,0,0,0,0,0
1896-01,35.8,0,0,福岡県,福岡市,,0,4.9,0,69,0,0,0,122.6,0,0,0
1896-02,60.6,0,0,福岡県,福岡市,,0,4.6,0,75,0,0,0,133.8,0,0,0
1896-03,71.9,0,0,福岡県,福岡市,,0,6.1,0,74,0,0,0,135.2,0,0,0
1896-04,173.2,0,0,福岡県,福岡市,,0,14.4,0,82,0,0,0,134.4,0,0,0
1896-05,180.8,0,0,福岡県,福岡市,,0,16.4,0,79,0,0,0,168.3,0,0,0
1896-06,262.9,0,0,福岡県,福岡市,,0,22.5,0,80,0,0,0,124.2,0,0,0
1896-07,235.6,0,0,福岡県,福岡市,,0,24.9,0,79,0,0,0,172.7,0,0,0
1896-08,205.2,0,0,福岡県,福岡市,,0,26.0,0,79,0,0,0,231.3,0,0,0
1896-09,61.5,0,0,福岡県,福岡市,,0,21.3,0,81,0,0,0,162.7,0,0,0
1896-10,66.3,0,0,福岡県,福岡市,,0,16.8,0,79,0,0,0,155.5,0,0,0
1896-11,101.5,0,0,福岡県,福岡市,,0,11.8,0,75,0,0,0,158.1,0,0,0
1896-12,95.5,0,0,福岡県,福岡市,,0,6.7,0,72,0,0,0,105.6,0,0,0
1897-01,83.8,0,0,福岡県,福岡市,,0,6.2,0,78,0,0,0,49.4,0,0,0
1897-02,59.6,0,0,福岡県,福岡市,,0,4.1,0,74,0,0,0,90.9,0,0,0
1897-03,175.8,0,0,福岡県,福岡市,,0,8.7,0,78,0,0,0,114.9,0,0,0
1897-04,81.9,0,0,福岡県,福岡市,,0,12.4,0,75,0,0,0,165.9,0,0,0
