発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,価格帯,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1997-12-19,8,3,SPT,アスミック,バーチャル・プロレスリング64,"￥6,800","￥7,000代",0,,岩下英幸,工藤正明|中山止禍,池下宗繁|門間毅|木村賢司|田村大也|遠山一仁|西田和希|畠祐基|葉山浩|矢口繁,,,,
1997-12-21,4,3,ACT,任天堂,ヨッシーストーリー,"￥6,800","￥7,000代",85,,紺野秀樹,中郷俊彦,日野重文,戸高一生,,手塚卓志,
1997-12-26,1,3,SPT,T＆Eソフト,遥かなるオーガスタMASTERS'98,"￥7,980","￥8,000代",0,,,,,,,,
1998-01-04,1,2,SPT,ハドソン,新日本プロレス闘魂炎導～BraveSpirits～,"￥6,980","￥7,000代",0,,,,,,,,
1998-01-29,1,2,SPT,コナミ,NBAINTHEZONE'98,"￥6,800","￥7,000代",0,,,,,,,,
1998-01-30,1,2,SLG,イマジニア,シムシティ2000,"￥6,800","￥7,000代",0,,,,,,,,
1998-02-28,7,3,SPT,任天堂,1080スノーボーディング,"￥6,800","￥7,000代",0,,,,,,,,
1998-02-28,1,1,SPT,ゲームバンク,ウェイン・グレッキー3Dホッケー,"￥6,800","￥7,000代",0,,,,,,,,
1998-03-19,2,1,SHT,ビデオシステム,ソニックウィングスアサルト,"￥6,980","￥7,000代",0,,,,,,,,
1998-03-26,1,3,ACT,コナミ,G.A.S.P!!Fighter'sNEXTream,"￥6,800","￥7,000代",0,,,,,,,,
1998-03-26,7,3,SPT,コナミ,実況パワフルプロ野球5,"￥7,800","￥8,000代",16,,,,,,,,
1998-03-26,1,3,PUZ,コナミ,進め!対戦ぱずるだま闘魂!まるたま町,"￥6,800","￥7,000代",0,,,,,,,,
1998-03-27,3,1,RAC,ヒューマン,エアーボーダー64,"￥7,800","￥8,000代",0,,,,,,,,
1998-03-27,0,1,ACT,ビック東海,スペースダイナマイツ,"￥6,800","￥7,000代",0,,,,,,,,
1998-04-03,1,1,TAB,セタ,森田将棋64,"￥9,800","￥10,000代",0,,,,,,,,
1998-04-24,0,2,SPT,エレクトロニック・アーツ,FIFARoadtoWORLDCUP98～ワールドカップへの道～,"￥6,800","￥7,000代",0,,,,,,,,
1998-04-30,2,3,ACT,ハドソン,ボンバーマンヒーロー～ミリアン王女を救え!～,"￥6,800","￥7,000代",0,,松本成弘|藤原茂樹(スーパーバイザー),よしだてつま|まつのうちひでかず|阿部幸絵|なかのやすひろ,くぼたひでゆき|みやしたかつみ|大久保則雄|水野祥司|佐藤梢,竹間淳,,遠藤英俊,
1998-05-29,1,1,RAC,アクレイムジャパン,エクストリームG,"￥6,800","￥7,000代",0,,,,,,,,
1998-05-29,1,1,RAC,タイトー,スーパースピードレース64,"￥6,800","￥7,000代",0,,,,,,,,
1998-05-29,1,2,TAB,セタ,実況ワールドサッカーWORLDCUPFRANCE'98,"￥6,980","￥7,000代",10,,,,,,,,
1998-06-04,1,3,SPT,コナミ,,"￥7,800","￥8,000代",0,,,,,,,,
1998-06-26,0,3,SHT,アテナ,デザエモン3D,"￥7,800","￥8,000代",0,,,,,,,,
1998-07-10,0,2,SHT,ハドソン,スターソルジャーバニシングアース,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-14,7,3,RAC,任天堂,F-ZEROX,"￥5,800","￥6,000代",29,,,,,,,,
1998-07-16,1,1,SPT,コナミ,オリンピックホッケーナガノ98,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-17,2,3,ACT,バンプレスト,スーパーロボットスピリッツ,"￥7,800","￥8,000代",0,,,,,,,,
1998-07-17,1,1,RAC,タカラ,チョロQ64,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-23,1,2,ACT,コナミ,RAKUGAKIDS,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-24,2,2,SHT,ハドソン,スーパービーダマンバトルフェニックス64,"￥6,800","￥7,000代",0,,込山勉,,,貫田顕勇,,中本伸一,
1998-08-01,7,3,ETC,任天堂,ポケモンスタジアム,"￥6,800","￥7,000代",137,,清水隆雄,西田泰也,,永田権太|峰岸透|疋野光啓,,宮本茂|三木研次|石原恒和|岩田聡,
1998-08-07,2,2,TAB,ボトムアップ,アリスのわくわくトランプワールド64,"￥6,980","￥7,000代",0,,,,,,,,
1998-08-28,1,1,RAC,アクレイムジャパン,イギーくんのぶらぶらぽよん,"￥5,800","￥6,000代",0,,,,,,,,
1998-10-09,1,2,SPT,ハドソン,Let'sスマッシュ,"￥6,800","￥7,000代",0,,,,,福岡ユタカ,,,
1998-10-23,1,2,TAB,イマジニア,キラッと解決!64探偵団,"￥6,800","￥7,000代",0,,,,,,,,
1998-10-30,1,3,RAC,イマジニア,CITYTOURGRANDPRIX～全日本GT選手権～,"￥6,800","￥7,000代",0,,,,,,,,
1998-11-13,2,1,PUZ,セタ,TETRIS64,"￥4,980","￥5,000代",0,,,,,,,,
1998-11-20,0,3,PUZ,カプコン,マジカルテトリスチャレンジfeaturingミッキー,"￥6,800","￥7,000代",0,,藤林秀麿,,藤林秀麿,甲田雅人,,,
1998-11-21,7,7,ACT+RPG,任天堂,ゼルダの伝説時のオカリナ,"￥6,800","￥7,000代",146,,大澤徹|山田洋一|小野塚(青沼)英二,岩脇敏夫,,近藤浩治,大澤徹,宮本茂,
1998-11-27,2,1,PUZ,イマジニア,ウェットリス,"￥5,800","￥6,000代",0,,,,,,,,
1998-11-27,0,1,SHT,ケムコ,ナイフエッジ～ノーズガンナー～,"￥6,980","￥7,000代",0,,,,,,,,
1998-11-27,7,3,RPG,パック・イン・ソフト,ぬし釣り64,"￥6,800","￥7,000代",9,,,,,,,,
1998-12-02,0,3,ETC,ハギワラシスコム,マリオのふぉとぴー,"￥9,800","￥10,000代",0,,,,,,,,
1998-12-04,1,2,TAB,ハドソン,ゲッターラブ!!～ちょー恋愛パーティーゲーム～,"￥6,800","￥7,000代",0,,飛澤正人,西野公博|高橋ミッツ,中村心|柴田晃宏,坂東章平,高橋克則|加藤和美,,
1998-12-06,2,3,ACT,任天堂,バンジョーとカズーイの大冒険,"￥6,800","￥7,000代",41,,,,,,,,
1998-12-11,4,2,ACT,エポック社,ドラえもん2のび太と光の神殿,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-11,3,2,ACT,イマジニア,ファイティングカップ,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-12,0,3,ETC,任天堂,ピカチュウげんきでちゅう,"￥9,800","￥10,000代",74,,,,,小畑幹,,石原恒和,
1998-12-18,1,1,TAB,アスキーサムシンググッド,AI将棋3NINTENDO64版,"￥7,800","￥8,000代",0,,,,,,,,
1998-12-18,1,2,SHT,UBIソフト,BUCKBUMBLE,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-18,2,2,RAC,任天堂,F-1WorldGrandprix,"￥5,800","￥6,000代",0,,,,,,,,
1998-12-18,1,2,SPT,ケムコ,KINGHILL64-エクストリームスノーボーディング-,"￥6,980","￥7,000代",0,,,,,,,,
1998-12-18,2,7,TAB,任天堂,マリオパーティ,"￥5,800","￥6,000代",71,,,,,光田康典,,,
1998-12-23,7,3,ACT,コナミ,がんばれゴエモンでろでろ道中オバケてんこ盛り,"￥7,800","￥8,000代",11,,,,,,,,
1998-12-24,1,2,TAB,タイトー,爆笑人生64めざせ!リゾート王,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-25,1,2,ACT,日本システムサプライ,カメレオンツイスト2,"￥6,300","￥6,500代",0,,,,,,,,
1998-12-26,3,2,RAC,イマジニア,SNOWSPEEDER,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-26,8,7,SPT,ハドソン,新日本プロレスリング闘魂炎導2-thenextgeneration-,"￥6,800","￥7,000代",0,,,,,,,,
1999-01-15,1,2,SLG,アスキー,Jリーグタクティクス・サッカー,"￥7,800","￥8,000代",0,,,,,,,,
1999-01-21,7,3,ACT,任天堂,ニンテンドウオールスター!大乱闘スマッシュブラザーズ,"￥5,800","￥6,000代",197,,桜井政博,,,安藤浩和,,山内溥|菅浩秋|岩田聡|三木研次|宮本茂,
1999-01-29,5,2,SLG,日本テレネット,Parlor!PRO64パチンコ実機シミュレーションゲーム,"￥6,980","￥7,000代",0,,,,,,,,
1999-01-29,1,2,ACT,カルチャーブレーン,SD飛龍の拳伝説,"￥6,480","￥6,500代",0,,,,,,,,
1999-02-05,7,3,SLG,パック・イン・ソフト,牧場物語2,"￥6,800","￥7,000代",9,,,,,,,,
1999-02-19,2,3,RAC,アトラス,超スノボキッズ,"￥6,800","￥7,000代",0,,,,,,,,
1999-03-05,1,1,PUZ,タイトー,パズルボブル64,"￥4,800","￥5,000代",0,,,,,,,,
1999-03-11,2,2,ACT,コナミ,悪魔城ドラキュラ黙示録,"￥7,800","￥8,000代",0,,柴田裕治,柴田洋,森澤友裕|梅津泰臣,古川元亮|江川麻理子|木村雅彦,,蛭子悦延,
1999-03-19,1,3,SPT,ボトムアップ,64大相撲2,"￥6,980","￥7,000代",0,,,,,,,,
1999-03-19,2,2,RAC,ケムコ,TOPGEAROVERDRIVE,"￥6,980","￥7,000代",0,,,,,,,,
1999-03-19,7,3,TAB,タカラ,人生ゲーム64,"￥6,800","￥7,000代",0,,,,,,,,
1999-03-19,1,3,SPT,イマジニア,超空間ナイタープロ野球キング2,"￥6,800","￥7,000代",0,,,,,,,,
1999-03-21,6,3,ETC,任天堂,ポケモンスナップ,"￥6,800","￥7,000代",50,,,,,,,,
1999-03-25,8,3,SPT,コナミ,実況パワフルプロ野球6,"￥7,800","￥8,000代",32,,,,,,,,
1999-03-26,1,1,SPT,アテナ,スーパーボウリング,"￥6,800","￥7,000代",0,,,,,,,,
1999-04-09,1,3,SLG,ボトムアップ,おねがいモンスター,"￥6,980","￥7,000代",0,,,,,,,,
1999-04-28,1,3,SLG,コナミ,実況G1ステイブル,"￥7,800","￥8,000代",0,,,,,,,,
1999-04-30,6,7,ETC,任天堂,ポケモンスタジアム2,"￥5,800","￥6,000代",71,,清水隆雄,西田泰也,,永田権太|峰岸透|疋野光啓,,宮本茂|三木研次|石原恒和|岩田聡,
1999-05-28,2,2,ACT,ハドソン,ラストレジオンUX,"￥6,800","￥7,000代",0,,,,,,,,
1999-06-03,1,2,SPT,コナミ,NBAINTHEZONE2,"￥7,800","￥8,000代",0,,,,,,,,
1999-06-11,1,2,RPG,イマジニア,ズール～魔獣使い伝説～,"￥6,800","￥7,000代",0,,,,,,,,
1999-06-11,7,4,SPT,任天堂,マリオゴルフ64,"￥6,800","￥7,000代",47,,,,,,,,
1999-06-18,1,7,ACT,gemzi,バイオレンスキラー～TUROKNEWGENERATION～,"￥7,800","￥8,000代",0,,,,,,,,
1999-06-25,4,7,ACT,バンダイ,NEONGENESISEVANGERION,"￥8,800","￥9,000代",0,,,,,,,島居理恵,
1999-07-09,1,3,RPG,イマジニア,エルテイルモンスターズ,"￥6,800","￥7,000代",0,,,,,,,,
1999-07-14,7,8,SLG,任天堂,オウガバトル64PersonofLordlyCaliber,"￥7,800","￥8,000代",20,,,,,,,,
1999-07-16,5,7,SLG,バンダイ,PDウルトラマンバトルコレクション64,"￥6,800","￥7,000代",0,,,,,,,,
1999-07-21,4,7,RAC,任天堂,スターウォーズエピソード1レーサー,"￥6,800","￥7,000代",9,,,,,,,,
1999-07-29,8,3,SPT,コナミ,実況Jリーグ1999パーフェクトストライカー2,"￥7,800","￥8,000代",11,,,,,,,,
1999-07-30,2,1,PUZ,バンプレスト,ロードランナー3D,"￥6,800","￥7,000代",0,,,,,,,,
1999-07-30,4,7,SLG,タイトー,電車でGO!64,"￥6,800","￥7,000代",0,,,,,,,,
1999-08-05,8,3,RPG,コナミ,HYBRIDHEAVEN,"￥7,800","￥8,000代",0,,,,,,,,
1999-08-06,1,1,RAC,イマジニア,Rally'99,"￥6,800","￥7,000代",0,,,,,,,,
1999-08-13,2,3,ADV,ケムコ,SHADOWGATE64,"￥6,980","￥7,000代",0,,,,,,,,
1999-08-27,2,3,SHT,任天堂,スターウォーズ出撃!ローグ中隊,"￥6,800","￥7,000代",0,,,,,,,,
1999-08-27,1,3,ACT,イマジニア,格闘伝承～F-CUPMANIAX～,"￥6,800","￥7,000代",0,,,,,,,,
1999-09-03,2,2,SHT,トレジャー,爆裂無敵バンガイオー,"￥5,800","￥6,000代",0,,,,,,,,
1999-09-10,1,2,RAC,アクレイムジャパン,エクストリームG2,"￥5,800","￥6,000代",0,,,,,,,,
1999-09-23,1,3,ACT,コーエー,WINBACK,"￥7,800","￥8,000代",0,,,,,,,,
1999-10-01,2,2,ACT,タカラ,ビーストウォーズメタルス64,"￥7,800","￥8,000代",0,,,,,,,,
1999-10-14,2,1,RAC,スパイク,V-RALLYEDITION99,"￥7,800","￥8,000代",0,,,,,,,,
1999-10-22,2,7,ADV,アテナ,夜光虫2～殺人行路～,"￥6,800","￥7,000代",0,,平尾真士,矢風図|浅見友之,平識佳秋|深川大輔,ピュアサウンド,白石マミ,中村栄,
1999-10-29,8,7,SLG,バンプレスト,スーパーロボット大戦64,"￥7,800","￥8,000代",12,,,,,,,,
1999-11-05,0,1,TAB,アルトロン,64花札～天使の約束～,"￥6,800","￥7,000代",0,,,,,,,,
1999-11-05,1,1,TAB,カルチャーブレーン,プロ麻雀「兵」64,"￥6,480","￥6,500代",0,,,,,,,,
1999-11-26,0,3,RAC,エレクトロニック・アーツ・スクウェア,ビートルアドベンチャーレーシング,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-01,6,7,ACT,任天堂,スターツインズ,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-03,2,2,PUZ,コンパイル,ぷよぷよ～んパーティ,"￥5,980","￥6,000代",0,,,,,,,,
1999-12-03,2,3,ACT,ハドソン,爆ボンバーマン2,"￥6,800","￥7,000代",12,,印南好司|杉本悟|吉田直樹(ストーリーモードディレクター),,水野祥司|吉見直人(アシスタントデザイン)|佐藤梢(アシスタントデザイン),光田康典|マユツバ|大槻”KALTA”英宣|弘田佳孝,,,
1999-12-08,2,3,ACT,任天堂,カスタムロボ,"￥6,800","￥7,000代",22,,,,,,,,
1999-12-10,4,7,ACT,任天堂,ドンキーコング64,"￥7,800","￥8,000代",110,,ジョージ・アンドレアス,クリス・サザーランド,マーク・スティーブンソン,グラント・カークホープ,,宮本茂,
1999-12-17,2,7,TAB,任天堂,マリオパーティ2,"￥5,800","￥6,000代",107,,,,,,,,
1999-12-24,3,2,RAC,タカラ,チョロQ642ハチャメチャグランプリレース,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-24,4,7,RPG,ハドソン,ロボットポンコッツ64七つの海のカラメル,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-25,8,3,TAB,コナミ,ゴエモンもののけ双六,"￥7,800","￥8,000代",0,,,,,,,,
1999-12-25,2,3,ACT,コナミ,悪魔城ドラキュラ黙示録外伝～レジェンドオブコーネル～,"￥7,800","￥8,000代",0,,,,,,,,
2000-01-28,7,7,SPT,アスミック・エース・エンタテインメント,バーチャル・プロレス2～王道継承～,"￥6,980","￥7,000代",0,,岩下英幸,工藤正明|中山止禍,竹内淳|今巧巳|池下宗繁|押切良之|勝俣俊介|木村賢司|竹内大地|遠山一仁|西田和希|葉山浩,新倉耕二|菅原幸枝,,梶井健,
2000-01-28,7,9,ACT+ADV,カプコン,バイオハザード2,"￥7,800","￥8,000代",0,,,,,,,,
2000-02-04,0,2,RAC,ケムコ,トップギア・ラリー2,"￥6,980","￥7,000代",0,,,リッチー・ブラナン|アシュリー・ベネット|サイモン・ブレイク,ポール・グレゴリー,バリー・レイッチ(英語版)|増野宏之,,,
2000-03-17,1,3,RAC,ケムコ,TOPGEARHYPER-BIKE,"￥6,980","￥7,000代",0,,,,,,,,
2000-03-24,7,7,ACT,任天堂,星のカービィ64,"￥6,800","￥7,000代",107,,,,,,,,
2000-03-31,7,3,SPT,任天堂,糸井重里のバス釣りNo.1決定版!,"￥6,800","￥7,000代",0,,ふるみまさと|あいかわきょういち,たきぐちあきお|おのせけんいち|たかはしごろう|三津原敏|高橋芳美|みずしまけんいち,斉藤明宏,池上正,,岩田聡|小関昭彦|大和聡,
2000-04-07,1,3,RPG,エポック社,ガントレットレジェンド,"￥6,800","￥7,000代",0,,,,,,,,
2000-04-07,0,3,ADV,ケムコ,大刀～DAIKATANA～,"￥6,980","￥7,000代",0,,,,,,,,
2000-04-21,0,2,TAB,セタ,井出洋介の麻雀塾,"￥5,800","￥6,000代",0,,,,,,,,
2000-04-21,0,1,ADV,カルチャーブレーン,忍たま乱太郎64ゲームギャラリー,"￥6,480","￥6,500代",0,,,,,,,,
2000-04-27,6,7,ACT+RPG,任天堂,ゼルダの伝説ムジュラの仮面,"￥5,800","￥6,000代",60,,青沼英二|小泉歓晃,岩脇敏夫,今村孝矢,近藤浩治|峰岸透,高野充浩,宮本茂,
2000-04-28,0,6,SLG,ビスコ,BassRush～ECOGEAR,"￥7,800","￥8,000代",0,,,,,,,,
2000-04-29,0,3,SPT,コナミ,実況パワフルプロ野球2000,"￥7,800","￥8,000代",27,,,,,,,,
2000-05-26,0,6,RPG,ビクターインタラクティブソフトウェア,ぬし釣り64～潮風にのって～,"￥6,800","￥7,000代",0,,,,,,,,
2000-06-23,4,3,RAC,任天堂,エキサイトバイク64,"￥6,800","￥7,000代",11,,,,,,,,
2000-07-13,7,2,SPT,コナミ,がんばれ!ニッポン!オリンピック2000,"￥7,800","￥8,000代",0,,,,,,,,
2000-07-21,4,3,SPT,任天堂,マリオテニス64,"￥6,800","￥7,000代",110,,,,,,,,
2000-07-28,4,3,ACT+ADV,エポック社,ドラえもん3のび太の町SOS!,"￥6,800","￥7,000代",0,,,,,,,,
2000-08-11,2,8,ACT+RPG,任天堂,マリオストーリー,"￥6,800","￥7,000代",43,,川出亮太,,碧山直彦,辻横由佳,,宮本茂|三木研次,
2000-09-15,0,6,SPT,アスミック・エース・エンタテインメント,WWFレッスルマニア2000,"￥8,800","￥9,000代",0,,岩下英幸,工藤正明|中山止禍|阿部浩之,竹内淳|勝俣俊介|今巧巳|池下宗繁|押切良之|木村賢司|竹内大地|遠山一仁|西田和希|葉山浩,新倉耕二|菅原幸枝,,梶井健|サンダース・キール,
2000-09-27,8,7,RPG,チュンソフト,不思議ダンジョン風来のシレン2～鬼襲来シレン城～,"￥6,800","￥7,000代",28,,,,,,,,
2000-10-21,0,7,SHT,任天堂,パーフェクトダーク,"￥5,800","￥6,000代",10,,,,,,,,
2000-11-10,0,3,ACT,任天堂,カスタムロボV2,"￥6,800","￥7,000代",26,,,,,,,,
2000-11-21,0,7,SHT,任天堂,罪と罰～地球の継承者～,"￥5,800","￥6,000代",0,,,,,,,,
2000-11-22,0,7,ACT,カプコン,ロックマンDASH鋼の冒険心,"￥6,800","￥7,000代",0,,,,,,,,
2000-11-27,0,7,ACT,任天堂,バンジョーとカズーイの大冒険2,"￥6,800","￥7,000代",19,,,,,,,,
2000-11-30,0,5,OTO,コナミ,DanceDanceRevolutionディズニーダンシングミュージアム,"￥7,800","￥8,000代",0,,,,,,,,
2000-12-07,0,7,TAB,任天堂,マリオパーティ3,"￥5,800","￥6,000代",85,,,,,,,,
2000-12-14,0,9,ACT,任天堂,ポケモンスタジアム金・銀,"￥6,800","￥7,000代",114,,清水隆雄,西田泰也,,永田権太|峰岸透|疋野光啓,,宮本茂|三木研次|石原恒和|岩田聡,
2001-01-21,0,7,RAC,任天堂,ミッキーのレーシングチャレンジUSA,"￥6,800","￥7,000代",0,,,,,,,,
2001-03-29,0,3,SPT,コナミ,実況パワフルプロ野球Basic版2001,"￥6,800","￥7,000代",11,,,,,,,,
2001-04-06,0,2,SLG,カルチャーブレーン,ハムスター物語64,"￥6,480","￥6,500代",0,,,,,,,,
2001-04-14,1,3,ETC,任天堂,どうぶつの森,"￥5,800","￥6,000代",21,,江口勝也|野上恒,,,戸高一生(サウンドディレクター)|永田権太(フィールドBGM)|峰岸透(インドアBGM)|田中しのぶ(イベントBGM),,手塚卓志,
2001-08-10,0,7,SLG,メディアファクトリー,ダービースタリオン64,"￥6,800","￥7,000代",0,,,,,,,,
2001-12-20,0,2,ACT,ハドソン,ボンバーマン64,"￥5,800","￥6,000代",0,,,,,,,,
1999-12-11,9,10,ETC,ランドネットＤＤ,ペイントスタジオ,不明,不明,0,,,,,,,,
1999-12-11,9,10,ETC,ランドネットＤＤ,巨人のドシン1,不明,不明,0,,,ジャイルズ・ゴダード,飯田和敏|博林隆夫|岩崎ヒロミチ,浅野達彦|鈴木康行,,宮本茂|木研次,
2000-02-23,9,10,SLG,任天堂,シムシティ―64,不明,不明,0,,,,,,,,
